symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,temperature,dl_models_trained
SHRIRAMFIN,1,0.7,907,100,144,2023-12-20,2024-09-09,0.5833333333333334,0.6040519276160503,0.625,0.6410256410256411,0.6097560975609756,50,28,34,32,0.5694444444444444,0.5416666666666666,0.4513888888888889,0.5,0.5416666666666666,0.4305555555555556,0.4861111111111111,0.6117848604921278,5
SHRIRAMFIN,2,0.75,972,107,144,2024-05-07,2025-01-23,0.5347222222222222,0.4820601851851852,0.6256983240223464,0.5233644859813084,0.7777777777777778,56,51,21,16,0.4791666666666667,0.5,0.5902777777777778,0.4722222222222222,0.4652777777777778,0.5277777777777778,0.4513888888888889,0.18267160962731466,5
SHRIRAMFIN,3,0.8,1036,115,144,2024-09-10,2025-06-02,0.4583333333333333,0.44734299516908216,0.5806451612903226,0.46153846153846156,0.782608695652174,54,63,12,15,0.4861111111111111,0.5069444444444444,0.5,0.5,0.5069444444444444,0.4375,0.4652777777777778,0.4199835257822235,5
SHRIRAMFIN,4,0.85,1101,122,144,2025-01-24,2025-10-09,0.5416666666666666,0.5354042060582674,0.6292134831460674,0.5333333333333333,0.7671232876712328,56,49,22,17,0.5069444444444444,0.5069444444444444,0.5416666666666666,0.4791666666666667,0.5069444444444444,0.4930555555555556,0.5486111111111112,7.999993966923679,5
SHRIRAMFIN,5,0.9,1166,129,144,2025-06-03,2026-02-26,0.5,0.5107142857142857,0.5263157894736842,0.5882352941176471,0.47619047619047616,40,28,32,44,0.5763888888888888,0.5833333333333334,0.4791666666666667,0.5833333333333334,0.4652777777777778,0.4444444444444444,0.4930555555555556,7.999993583360206,5
SHRIRAMFIN,6,0.95,1231,136,72,2025-10-10,2026-02-26,0.5416666666666666,0.5687666370896185,0.5925925925925924,0.75,0.4897959183673469,24,8,15,25,0.4444444444444444,0.4722222222222222,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.3472222222222222,0.6111111111111112,0.1000035356387145,5
