symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
HINDUNILVR,1,0.7,634,70,101,2024-05-08,2025-01-06,0.5742574257425742,0.6107171000788022,0.5656565656565656,0.5384615384615384,0.5957446808510638,28,24,30,19,0.45544554455445546,0.5445544554455446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.6122448979591837,0.0,0.5148514851485149,0.48514851485148514,0.35991721325637593,0
HINDUNILVR,2,0.75,680,75,100,2024-09-09,2025-05-12,0.58,0.576684580405126,0.5961538461538461,0.49206349206349204,0.7560975609756098,31,32,27,10,0.49,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49206349206349204,0.7297297297297297,0.0,0.63,0.37,0.3061666770827716,0
HINDUNILVR,3,0.8,725,80,101,2025-01-07,2025-08-21,0.5445544554455446,0.5423529411764706,0.6290322580645161,0.5342465753424658,0.7647058823529411,39,34,16,12,0.5544554455445545,0.504950495049505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342465753424658,0.5714285714285714,0.0,0.7227722772277227,0.27722772277227725,1.0,0
HINDUNILVR,4,0.85,770,85,101,2025-05-13,2025-12-19,0.5346534653465347,0.5509803921568627,0.6356589147286822,0.5189873417721519,0.82,41,38,13,9,0.5247524752475248,0.5841584158415841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5189873417721519,0.5909090909090908,0.0,0.7821782178217822,0.21782178217821782,1.0,0
HINDUNILVR,5,0.9,816,90,101,2025-08-25,2026-04-10,0.5841584158415841,0.546383647798742,0.6181818181818182,0.5483870967741935,0.7083333333333334,34,28,25,14,0.4752475247524752,0.504950495049505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5483870967741935,0.641025641025641,0.0,0.6138613861386139,0.38613861386138615,0.7148753725782603,0
HINDUNILVR,6,0.95,861,95,51,2025-12-22,2026-04-10,0.5490196078431373,0.5555555555555556,0.4888888888888889,0.5238095238095238,0.4583333333333333,11,10,17,13,0.5490196078431373,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.5666666666666667,0.0,0.4117647058823529,0.5882352941176471,0.10000660285425449,0
