model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_stocks
XGB,0.504664699798005,0.5082841546504338,0.5522977539929851,0.4296875,0.024313989481514135,84
LGBM,0.5046340088827475,0.5044417583539764,0.5637283306774833,0.4607485440219254,0.02421573039321413,84
NBEATS,0.5036012651096976,0.5021368692604589,0.5513959678332767,0.45273631840796025,0.020538716279925325,84
BILSTM,0.5032989035368999,0.5024811846622184,0.5433680070382446,0.44742623979912116,0.020671003780486873,84
TCN_TRANSFORMER,0.503220661973952,0.5007058872191419,0.5899360236220472,0.4546434494195688,0.021372400116998345,84
LSTM,0.0,0.0,0.0,0.0,0.0,84
GRU,0.0,0.0,0.0,0.0,0.0,84
CNN_LSTM,0.0,0.0,0.0,0.0,0.0,84
CNN_GRU,0.0,0.0,0.0,0.0,0.0,84
TCN_GRU,0.0,0.0,0.0,0.0,0.0,84
