model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_stocks
XGB,0.529536654894829,0.5311156714029698,0.5511725143346449,0.504742762438732,0.02423681785830235,4
CNN_GRU,0.5275701215189411,0.5319812734681686,0.546353201313693,0.49996473782573436,0.019670564102481403,4
TCN_TRANSFORMER,0.5226783390631585,0.5221533111452467,0.552489459022968,0.49391727493917276,0.023943946167937255,4
LGBM,0.5225384145649459,0.526245457240206,0.5462345137059799,0.49142823007339137,0.022813507233212148,4
GRU,0.5134106493513881,0.5134029262404689,0.5520833333333334,0.4747534115912811,0.031931290875821784,4
NBEATS,0.5123672389379382,0.508184887844247,0.5510993507408491,0.4819998293224099,0.028630222028578636,4
TCN_GRU,0.5114995746708833,0.5140263030167265,0.5325618638831984,0.4853838287668817,0.021353919808295548,4
CNN_LSTM,0.5103106783537372,0.5211767309180907,0.5260416666666666,0.472847584912101,0.025317520126124232,4
BILSTM,0.5089956756441785,0.5054844365963721,0.5286458333333334,0.4963679960506365,0.015493857733584847,4
LSTM,0.5057355032617337,0.5055901565640537,0.5254739375020323,0.48628776241679467,0.020269612211342113,4
