symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
SBIN,1,0.7,722,80,114,2024-03-19,2024-11-06,0.5789473684210527,0.5202020202020202,0.6756756756756757,0.6097560975609756,0.7575757575757576,50,32,16,16,0.49122807017543857,0.5087719298245614,0.0,0.4824561403508772,0.0,0.0,0.0,0.0,0.5350877192982456,0.5877192982456141,0.6097560975609756,0.5,0.0,0.7192982456140351,0.2807017543859649,0.21184204033268195,0
SBIN,2,0.75,774,85,115,2024-07-10,2025-02-24,0.5043478260869565,0.4890710382513661,0.6068965517241379,0.4835164835164835,0.8148148148148148,44,47,14,10,0.5043478260869565,0.43478260869565216,0.0,0.48695652173913045,0.0,0.0,0.0,0.0,0.4782608695652174,0.46956521739130436,0.4835164835164835,0.5833333333333333,0.0,0.7913043478260869,0.20869565217391303,0.1692580843549417,0
SBIN,3,0.8,825,91,115,2024-11-07,2025-07-03,0.4782608695652174,0.4915305505142165,0.6296296296296297,0.4857142857142857,0.8947368421052632,51,54,4,6,0.5304347826086957,0.4956521739130435,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.5391304347826087,0.48695652173913045,0.4857142857142857,0.4,0.0,0.9130434782608695,0.08695652173913043,0.30296871394854885,0
SBIN,4,0.85,877,97,114,2025-02-27,2025-12-01,0.5175438596491229,0.5494505494505495,0.6583850931677019,0.5520833333333334,0.8153846153846154,53,43,6,12,0.543859649122807,0.5789473684210527,0.0,0.5701754385964912,0.0,0.0,0.0,0.0,0.4649122807017544,0.5350877192982456,0.5520833333333334,0.33333333333333337,0.0,0.8421052631578947,0.15789473684210525,1.2058596963825348,0
SBIN,5,0.9,928,103,115,2025-07-04,2026-04-09,0.4608695652173913,0.4418676561533705,0.5373134328358209,0.5294117647058824,0.5454545454545454,36,32,17,30,0.5391304347826087,0.591304347826087,0.0,0.46956521739130436,0.0,0.0,0.0,0.0,0.5565217391304348,0.5565217391304348,0.5294117647058824,0.36170212765957444,0.0,0.591304347826087,0.40869565217391307,0.5304560874455336,0
SBIN,6,0.95,980,108,58,2025-12-02,2026-04-09,0.41379310344827586,0.39583333333333337,0.5526315789473685,0.5,0.6176470588235294,21,21,3,13,0.5862068965517241,0.46551724137931033,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.6551724137931034,0.5862068965517241,0.5,0.1875,0.0,0.7241379310344828,0.27586206896551724,0.104769226761463,3
