model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_datapoints
TCN_Transformer,0.5326460914325922,0.5318181818181817,0.6119402985074627,0.4351145038167939,0.05506095479222219,12
LSTM,0.5289634011772923,0.5225576662143826,0.6176470588235294,0.48507462686567165,0.03681876018757343,12
LightGBM,0.5275460871405988,0.5223918575063613,0.6470588235294118,0.4696969696969697,0.05036802503186149,12
XGBoost,0.5148539339349992,0.5094565341232767,0.6323529411764706,0.4318181818181818,0.059643293110197435,12
GRU,0.5144640606632119,0.5019083969465649,0.6044776119402985,0.4318181818181818,0.05211314559612174,12
NBEATS,0.5138387819722948,0.5037313432835822,0.6323529411764706,0.44776119402985076,0.05514898925302887,12
BiLSTM,0.5117193999093718,0.49809160305343514,0.6617647058823529,0.3939393939393939,0.07789163435919336,12
CNN_GRU,0.511389853553139,0.5074626865671642,0.6176470588235294,0.4253731343283582,0.05053243957618892,12
TCN_GRU,0.5079481173369611,0.5075757575757576,0.6343283582089553,0.4117647058823529,0.05804056969314447,12
CNN_LSTM,0.5054996564035897,0.48501809136137497,0.6194029850746269,0.3939393939393939,0.06954039540723592,12
