symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
SBIN,0.5521172638436482,0.6523388116308471,6.0,614,47.0,1115.0
HDFCBANK,0.5547309833024119,0.5959595959595959,6.0,539,47.0,977.0
ICICIBANK,0.5318021201413428,0.6015037593984962,6.0,566,47.0,1027.0
AXISBANK,0.5483870967741935,0.6607142857142857,6.0,589,47.0,1070.0
INDUSINDBK,0.4707792207792208,0.5721784776902887,6.0,616,47.0,1120.0
KOTAKBANK,0.5180102915951973,0.42535787321063395,6.0,583,47.0,1059.0
BANDHANBNK,0.5262368815592204,0.47157190635451507,6.0,667,47.0,1211.0
IDFCFIRSTB,0.4697674418604651,0.4,6.0,645,47.0,1172.0
FEDERALBNK,0.5908372827804107,0.686819830713422,6.0,633,47.0,1150.0
BAJFINANCE,0.5,0.522273425499232,6.0,622,47.0,1129.0
RBLBANK,0.49493487698986977,0.5277401894451962,6.0,691,47.0,1255.0
AUBANK,0.5192604006163328,0.5478260869565217,6.0,649,47.0,1177.0
BAJAJFINSV,0.47297297297297297,0.5357142857142857,6.0,592,47.0,1076.0
HDFCLIFE,0.483704974271012,0.48013816925734026,6.0,583,47.0,1057.0
SBILIFE,0.4966101694915254,0.5726618705035971,6.0,590,47.0,1072.0
ICICIGI,0.48606271777003485,0.5655375552282769,6.0,574,47.0,1043.0
MUTHOOTFIN,0.5888,0.6958579881656805,6.0,625,47.0,1135.0
CHOLAFIN,0.5541984732824428,0.6256410256410256,6.0,655,47.0,1189.0
SHRIRAMFIN,0.5562310030395137,0.6964656964656964,6.0,658,47.0,1194.0
TCS,0.5164644714038128,0.4685714285714286,6.0,577,50.0,1048.0
MANAPPURAM,0.5379939209726444,0.6218905472636815,6.0,658,47.0,1194.0
HCLTECH,0.534804753820034,0.6893424036281179,6.0,589,50.0,1069.0
INFY,0.5140961857379768,0.6149802890932983,6.0,603,50.0,1095.0
WIPRO,0.5041322314049587,0.5738636363636364,6.0,605,50.0,1100.0
LTIM,0.5312,0.6651428571428571,6.0,625,50.0,1135.0
TECHM,0.5538971807628524,0.6633291614518148,6.0,603,50.0,1095.0
MPHASIS,0.45768025078369906,0.5140449438202247,6.0,638,50.0,1158.0
PERSISTENT,0.5421875,0.6762430939226519,6.0,640,50.0,1163.0
COFORGE,0.524812030075188,0.6631130063965884,6.0,665,50.0,1207.0
TATAELXSI,0.5616,0.38288288288288286,6.0,625,50.0,1135.0
OFSS,0.4786885245901639,0.5495750708215298,6.0,610,50.0,1108.0
NAUKRI,0.49389416553595655,0.5984930032292788,6.0,737,50.0,1338.0
MARUTI,0.5207612456747405,0.5481239804241436,6.0,578,50.0,1049.0
BAJAJ-AUTO,0.5025996533795494,0.6554621848739496,6.0,577,50.0,1048.0
