symbol,accuracy,win_rate,precision_bullish,recall_bullish,profit_factor,sample_count,bullish_true,bullish_pred
DIVISLAB,46.464646464646464,50.0,43.24324324324324,33.33333333333333,2.553284857389577,99,48,37
DIVISLAB,41.41414141414141,0.0,50.0,29.310344827586203,0.0797802998726059,99,58,34
DIVISLAB,51.515151515151516,0.0,55.55555555555556,20.0,0.11669521975783716,99,50,18
DIVISLAB,49.494949494949495,0.0,75.0,11.11111111111111,0.0,99,54,8
DIVISLAB,40.4040404040404,66.66666666666666,46.774193548387096,52.72727272727272,1.8041771955168437,99,55,62
DIVISLAB,41.41414141414141,0.0,41.37931034482759,50.0,0.4394446179657872,99,48,58
DIVISLAB,45.45454545454545,100.0,40.57971014492754,68.29268292682927,1.0838354309597436,99,41,69
