symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
AMBUJACEM,0.4944178628389155,0.5899094437257438,6.0,627,50.0,1138.0
PIDILITIND,0.4977645305514158,0.5651612903225807,6.0,671,50.0,1220.0
ASIANPAINT,0.5099236641221374,0.5272459499263623,6.0,655,50.0,1189.0
BERGEPAINT,0.526080476900149,0.6074074074074074,6.0,671,50.0,1220.0
VOLTAS,0.5207182320441989,0.5873959571938169,6.0,724,50.0,1315.0
PAGEIND,0.5062937062937063,0.5433376455368694,6.0,715,50.0,1298.0
DLF,0.4828042328042328,0.5973223480947477,6.0,756,50.0,1373.0
DMART,0.49067431850789095,0.5298013245033113,6.0,697,50.0,1265.0
GODREJPROP,0.5203145478374837,0.6280487804878049,6.0,763,50.0,1385.0
ADANIENT,0.5566433566433566,0.6100861008610086,6.0,715,50.0,1299.0
BEL,0.48847926267281105,0.5658409387222947,6.0,651,50.0,1182.0
ADANIPORTS,0.5282714054927302,0.535031847133758,6.0,619,50.0,1124.0
HAL,0.49921996879875197,0.6174016686531585,6.0,641,50.0,1164.0
ETERNAL,0.5346534653465347,0.5586854460093896,6.0,404,50.0,733.0
IRFC,0.562962962962963,0.4234527687296417,6.0,405,50.0,734.0
AVERAGE,0.5053367708525123,0.5720844443117351,6.0,61331,49.41836734693877,1136.2755102040817
