symbol,oos_accuracy,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
WIPRO,0.511,True,True,1,6,0.0861,31.0439,0.6667,2.989,-1.698,3.52,7.642,0.0237,3.635,0.4984,0.6667,2024-05-09 → 2026-04-21
ADANIPORTS,0.5396,True,True,2,28,0.2423,6.0454,0.6071,2.209,-1.36,2.511,5.073,0.0486,4.982,0.4882,0.6071,2024-05-09 → 2026-04-16
GRASIM,0.5131,True,True,3,22,0.0963,1.8654,0.6818,1.289,-1.413,1.954,4.449,0.0305,3.157,0.5135,0.6818,2024-04-05 → 2026-04-16
IRFC,0.558,True,True,4,16,0.0951,3.1831,0.5625,2.279,-1.564,1.873,3.823,0.0748,1.271,0.448,0.5625,2024-12-20 → 2026-04-21
HEROMOTOCO,0.5033,True,True,5,28,0.1023,1.4019,0.6071,1.251,-1.019,1.898,3.554,0.0312,3.275,0.5135,0.6786,2024-05-17 → 2026-04-21
POLYCAB,0.5234,True,True,6,29,0.1384,2.0854,0.5517,1.856,-1.239,1.844,3.438,0.038,3.64,0.5245,0.5517,2024-06-24 → 2026-04-21
JSWSTEEL,0.5678,True,True,7,56,0.268,1.9108,0.6429,1.602,-1.635,1.763,3.264,0.1168,2.294,0.5234,0.6429,2024-04-09 → 2026-04-21
BPCL,0.5008,True,True,8,22,0.0749,1.2878,0.5909,1.512,-1.336,1.635,2.666,0.0415,1.804,0.5263,0.6364,2024-04-25 → 2026-04-21
KOTAKBANK,0.534,True,True,9,37,0.0695,0.5801,0.5676,1.284,-1.239,1.361,1.754,0.0642,1.081,0.4891,0.5676,2024-03-05 → 2026-04-21
BOSCHLTD,0.5117,True,True,10,85,0.1924,0.6848,0.5765,1.53,-1.551,1.342,1.682,0.1143,1.683,0.5469,0.5882,2024-01-05 → 2026-04-21
HCLTECH,0.5266,True,True,11,47,0.0642,0.3959,0.5957,1.298,-1.548,1.235,1.128,0.0653,0.983,0.5126,0.5957,2024-04-30 → 2026-04-21
FEDERALBNK,0.5097,True,True,12,49,0.07,0.4162,0.5714,1.439,-1.552,1.237,1.065,0.0731,0.958,0.5387,0.6122,2024-02-06 → 2026-04-16
TATASTEEL,0.5069,True,True,13,58,0.0863,0.4327,0.6034,1.578,-1.982,1.212,1.034,0.1289,0.669,0.5305,0.6034,2023-12-13 → 2026-04-21
EICHERMOT,0.5088,True,True,14,25,0.0193,0.2129,0.64,1.12,-1.747,1.14,0.662,0.0662,0.292,0.5263,0.64,2024-03-20 → 2026-04-16
GODREJCP,0.4804,False,False,15,14,0.0079,0.1525,0.4286,2.281,-1.567,1.091,0.397,0.0668,0.119,0.4731,0.4286,2024-04-30 → 2026-04-21
TATAELXSI,0.4944,False,False,16,30,0.0128,0.1128,0.5333,2.643,-2.744,1.101,0.389,0.1979,0.065,0.4519,0.5333,2024-04-16 → 2026-04-21
SBIN,0.5118,True,True,17,42,0.0195,0.1226,0.5952,1.376,-1.865,1.085,0.325,0.1638,0.119,0.5494,0.5952,2024-03-20 → 2026-04-21
AUBANK,0.5362,True,False,18,21,0.009,0.1139,0.3333,2.522,-1.162,1.085,0.298,0.0881,0.103,0.5085,0.3333,2024-05-08 → 2026-04-21
CUMMINSIND,0.5249,True,False,19,70,0.0079,0.0289,0.6,1.693,-2.429,1.046,0.12,0.2,0.04,0.5412,0.6143,2024-05-15 → 2026-04-21
COFORGE,0.5332,False,False,20,70,-0.0038,-0.0135,0.5714,1.578,-2.061,1.021,-0.046,0.155,-0.024,0.5457,0.5714,2024-04-10 → 2026-04-21
MPHASIS,0.5054,False,False,21,64,-0.0148,-0.0571,0.5,1.932,-1.923,1.005,-0.138,0.1874,-0.079,0.5057,0.5,2024-04-16 → 2026-04-21
BEL,0.467,False,False,22,52,-0.0169,-0.0793,0.4808,1.781,-1.667,0.989,-0.248,0.1807,-0.094,0.4958,0.5,2024-05-08 → 2026-04-21
NMDC,0.4977,False,False,23,23,-0.0212,-0.2097,0.5652,2.252,-3.005,0.974,-0.274,0.1344,-0.158,0.5056,0.5652,2024-05-09 → 2026-04-16
HAL,0.5374,False,False,24,90,-0.0669,-0.1762,0.5667,1.58,-2.149,0.961,-0.349,0.2013,-0.332,0.5029,0.5778,2024-05-06 → 2026-04-21
AMBUJACEM,0.4928,False,False,25,51,-0.0687,-0.2964,0.5882,1.889,-2.882,0.936,-0.46,0.1727,-0.398,0.4883,0.5882,2024-05-03 → 2026-04-21
LTIM,0.5324,False,False,26,32,-0.0086,-0.0656,0.5938,0.986,-1.483,0.972,-0.463,0.1091,-0.079,0.5223,0.5938,2024-03-13 → 2026-04-21
BHEL,0.5181,False,False,27,79,-0.1319,-0.3632,0.557,2.361,-3.18,0.934,-0.466,0.2334,-0.565,0.5498,0.557,2023-12-28 → 2026-04-16
ETERNAL,0.5025,False,False,28,35,-0.0394,-0.2512,0.5143,2.478,-2.764,0.949,-0.484,0.1644,-0.24,0.4773,0.5143,2025-02-01 → 2026-04-21
SIEMENS,0.5358,False,False,29,48,-0.0637,-0.2924,0.5417,2.394,-3.013,0.939,-0.534,0.3113,-0.205,0.5538,0.5417,2024-02-16 → 2026-04-21
