symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
KOTAKBANK,1,0.7,667,74,106,2024-04-19,2024-12-13,0.4528301886792453,0.39928698752228164,0.30952380952380953,0.4482758620689655,0.23636363636363636,13,16,35,42,0.5,0.41509433962264153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4482758620689655,0.4545454545454546,0.0,0.27358490566037735,0.7264150943396226,1.0,0
KOTAKBANK,2,0.75,715,79,106,2024-08-23,2025-04-22,0.44339622641509435,0.5373188405797101,0.21333333333333335,0.5333333333333333,0.13333333333333333,8,7,39,52,0.44339622641509435,0.4716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.4285714285714286,0.0,0.14150943396226415,0.8584905660377359,0.5331909116231447,0
KOTAKBANK,3,0.8,763,84,106,2024-12-16,2025-08-11,0.5,0.6380236305048335,0.2535211267605634,0.6428571428571429,0.15789473684210525,9,5,44,48,0.5,0.5094339622641509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.4782608695652174,0.0,0.1320754716981132,0.8679245283018868,0.5590049497866421,0
KOTAKBANK,4,0.85,810,90,106,2025-04-24,2025-12-09,0.6320754716981132,0.6216071428571428,0.6138613861386139,0.6888888888888889,0.5535714285714286,31,14,36,25,0.5566037735849056,0.5849056603773585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6888888888888889,0.5901639344262295,0.0,0.42452830188679247,0.5754716981132075,0.12066326863701403,0
KOTAKBANK,5,0.9,858,95,106,2025-08-12,2026-04-27,0.5566037735849056,0.613903743315508,0.5607476635514018,0.5769230769230769,0.5454545454545454,30,22,29,25,0.6037735849056604,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.537037037037037,0.0,0.49056603773584906,0.5094339622641509,1.0,0
KOTAKBANK,6,0.95,906,100,53,2025-12-10,2026-04-27,0.5283018867924528,0.4727272727272727,0.5098039215686274,0.41935483870967744,0.65,13,18,15,7,0.5094339622641509,0.49056603773584906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483870967744,0.6818181818181819,0.0,0.5849056603773585,0.41509433962264153,0.5602197666493192,0
