symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
HDFCBANK,0.490787269681742,0.5294117647058824,6.0,597,47.0,1084.0
SBIN,0.5031645569620253,0.6189320388349514,6.0,632,47.0,1148.0
ICICIBANK,0.5008880994671403,0.6113416320885201,6.0,563,47.0,1021.0
AXISBANK,0.48936170212765956,0.5828877005347594,6.0,611,47.0,1110.0
INDUSINDBK,0.48753894080996885,0.5923172242874845,6.0,642,47.0,1165.0
KOTAKBANK,0.5502555366269165,0.52,6.0,587,47.0,1066.0
BANDHANBNK,0.4843517138599106,0.41156462585034015,6.0,671,47.0,1219.0
IDFCFIRSTB,0.47832817337461303,0.41796200345423146,6.0,646,47.0,1173.0
FEDERALBNK,0.5146103896103896,0.5986577181208054,6.0,616,47.0,1118.0
BAJAJFINSV,0.5091819699499165,0.549079754601227,6.0,599,47.0,1087.0
BAJFINANCE,0.512396694214876,0.5426356589147286,6.0,605,47.0,1097.0
AUBANK,0.508500772797527,0.503125,6.0,647,47.0,1176.0
HDFCLIFE,0.4741235392320534,0.5039370078740157,6.0,599,47.0,1088.0
SBILIFE,0.5155709342560554,0.582089552238806,6.0,578,47.0,1050.0
ICICIGI,0.5194585448392555,0.5374592833876222,6.0,591,47.0,1073.0
CHOLAFIN,0.5105421686746988,0.5403111739745403,6.0,664,47.0,1205.0
MUTHOOTFIN,0.5297906602254429,0.6106666666666667,6.0,621,47.0,1127.0
SHRIRAMFIN,0.5053929121725732,0.5759577278731837,6.0,649,47.0,1179.0
TCS,0.42882882882882883,0.5233082706766917,6.0,555,50.0,1007.0
MANAPPURAM,0.5129770992366413,0.5873221216041398,6.0,655,47.0,1189.0
INFY,0.45286195286195285,0.48,6.0,594,50.0,1078.0
HCLTECH,0.4939965694682676,0.6040268456375839,6.0,583,50.0,1057.0
TECHM,0.5163398692810458,0.5771428571428572,6.0,612,50.0,1111.0
WIPRO,0.5238095238095238,0.527027027027027,6.0,588,50.0,1067.0
PERSISTENT,0.4930662557781202,0.6133960047003525,6.0,649,50.0,1177.0
MPHASIS,0.5031055900621118,0.58656330749354,6.0,644,50.0,1169.0
LTIM,0.5194174757281553,0.5846153846153846,6.0,618,50.0,1121.0
TATAELXSI,0.5103668261562998,0.2974828375286041,6.0,627,50.0,1140.0
OFSS,0.4683333333333333,0.48796147672552165,6.0,600,50.0,1090.0
COFORGE,0.47583081570996977,0.5804111245465539,6.0,662,50.0,1202.0
BAJAJ-AUTO,0.4913494809688581,0.6016260162601627,6.0,578,50.0,1050.0
MARUTI,0.47202797202797203,0.5438066465256798,6.0,572,50.0,1040.0
HEROMOTOCO,0.5369458128078818,0.5765765765765766,6.0,609,50.0,1106.0
TVSMOTOR,0.5273311897106109,0.6704035874439462,6.0,622,50.0,1129.0
EICHERMOT,0.52,0.5207667731629393,6.0,625,50.0,1136.0
M&M,0.5238095238095238,0.6419753086419753,6.0,609,50.0,1106.0
BOSCHLTD,0.530791788856305,0.6475770925110133,6.0,682,50.0,1240.0
EXIDEIND,0.4827586206896552,0.5771812080536913,6.0,609,50.0,1106.0
MOTHERSON,0.4847560975609756,0.5552631578947368,6.0,656,50.0,1191.0
SUNPHARMA,0.4913494809688581,0.540625,6.0,578,50.0,1050.0
DRREDDY,0.512280701754386,0.6507537688442211,6.0,570,50.0,1034.0
CIPLA,0.4826388888888889,0.5552238805970149,6.0,576,50.0,1045.0
LUPIN,0.5132890365448505,0.6257982120051085,6.0,602,50.0,1093.0
TORNTPHARM,0.504258943781942,0.6104417670682731,6.0,587,50.0,1065.0
DIVISLAB,0.49327354260089684,0.5258741258741259,6.0,669,50.0,1215.0
HINDUNILVR,0.5621621621621622,0.602291325695581,6.0,555,50.0,1007.0
ALKEM,0.5269360269360269,0.5722983257229832,6.0,594,50.0,1079.0
AUROPHARMA,0.49606299212598426,0.48717948717948717,6.0,635,50.0,1153.0
NESTLEIND,0.48,0.5867052023121387,6.0,550,50.0,997.0
ITC,0.5035460992907801,0.5189003436426117,6.0,564,50.0,1024.0
BRITANNIA,0.514760147601476,0.6021180030257186,6.0,542,50.0,984.0
TATACONSUM,0.4753289473684211,0.5114854517611026,6.0,608,50.0,1104.0
COLPAL,0.4982517482517482,0.5952045133991537,6.0,572,50.0,1040.0
MARICO,0.4852686308492201,0.5366614664586583,6.0,577,50.0,1048.0
RELIANCE,0.4922813036020583,0.5301587301587302,6.0,583,50.0,1059.0
GODREJCP,0.46153846153846156,0.5306704707560628,6.0,611,50.0,1109.0
ONGC,0.5015822784810127,0.5414847161572053,6.0,632,50.0,1147.0
POWERGRID,0.49331103678929766,0.637125748502994,6.0,598,50.0,1085.0
NTPC,0.49585406301824214,0.6292682926829268,6.0,603,50.0,1096.0
BPCL,0.48963317384370014,0.5778364116094987,6.0,627,50.0,1138.0
COALINDIA,0.466557911908646,0.5927770859277709,6.0,613,50.0,1113.0
GAIL,0.4774281805745554,0.5944798301486199,6.0,731,50.0,1328.0
TATAPOWER,0.5,0.6106194690265486,6.0,704,50.0,1280.0
HINDALCO,0.5022970903522205,0.6031746031746031,6.0,653,50.0,1186.0
TATASTEEL,0.5110803324099723,0.6064659977703456,6.0,722,50.0,1310.0
JSWSTEEL,0.5039872408293461,0.514820592823713,6.0,627,50.0,1138.0
NMDC,0.5162287480680062,0.5483405483405484,6.0,647,50.0,1176.0
SAIL,0.5112781954887218,0.5350500715307582,6.0,665,50.0,1208.0
VEDL,0.5444947209653092,0.6067708333333334,6.0,663,50.0,1204.0
LT,0.5383333333333333,0.6674669867947179,6.0,600,50.0,1089.0
SIEMENS,0.5265423242467718,0.6333333333333333,6.0,697,50.0,1266.0
