symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,temperature,dl_models_trained
TVSMOTOR,1,0.7,878,97,139,2023-11-13,2024-08-08,0.4892086330935252,0.48952660242982826,0.5895953757225433,0.53125,0.6623376623376623,51,45,17,26,0.48201438848920863,0.4748201438848921,0.5107913669064749,0.5179856115107914,0.41007194244604317,0.5539568345323741,0.5467625899280576,0.3599668283159951,5
TVSMOTOR,2,0.75,940,104,140,2024-04-04,2024-12-30,0.5285714285714286,0.4989720394736842,0.6732673267326732,0.5396825396825397,0.8947368421052632,68,58,6,8,0.5428571428571428,0.5857142857142857,0.5142857142857142,0.5428571428571428,0.4714285714285714,0.5357142857142857,0.55,0.4102722397620201,5
TVSMOTOR,3,0.8,1003,111,139,2024-08-12,2025-04-29,0.539568345323741,0.48062499999999997,0.6734693877551021,0.5454545454545454,0.88,66,55,9,9,0.539568345323741,0.539568345323741,0.5179856115107914,0.5251798561151079,0.5539568345323741,0.539568345323741,0.5467625899280576,0.7652096108672827,5
TVSMOTOR,4,0.85,1066,118,139,2024-12-31,2025-09-17,0.5971223021582733,0.5265246449456976,0.7307692307692308,0.5757575757575758,1.0,76,56,7,0,0.5539568345323741,0.5467625899280576,0.5467625899280576,0.5827338129496403,0.5179856115107914,0.5755395683453237,0.5179856115107914,1.140532810976854,5
TVSMOTOR,5,0.9,1128,125,140,2025-04-30,2026-02-27,0.5285714285714286,0.4420363933755878,0.6666666666666666,0.528,0.9041095890410958,66,59,8,7,0.5214285714285715,0.5142857142857142,0.5214285714285715,0.5571428571428572,0.5357142857142857,0.4928571428571429,0.5214285714285715,1.1172642500876608,5
TVSMOTOR,6,0.95,1191,132,70,2025-09-18,2026-02-27,0.4714285714285714,0.4987714987714988,0.6407766990291262,0.4714285714285714,1.0,33,37,0,0,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4857142857142857,0.4714285714285714,0.4925473064005911,5
