iter	Passed	Remaining
409	5320	7656
410	5331	7640
411	5343	7625
412	5353	7608
413	5363	7592
414	5374	7576
415	5384	7559
416	5396	7544
417	5407	7528
418	5417	7511
419	5428	7496
420	5439	7481
421	5451	7466
422	5461	7450
423	5473	7435
424	5484	7419
425	5496	7405
426	5508	7391
427	5519	7376
428	5530	7360
429	5542	7347
430	5555	7333
431	5568	7321
432	5580	7307
433	5593	7294
434	5605	7280
435	5616	7265
436	5627	7250
437	5640	7236
438	5652	7223
439	5662	7206
440	5675	7194
441	5688	7181
442	5700	7167
443	5711	7152
444	5722	7136
445	5733	7122
446	5745	7108
447	5756	7092
448	5768	7078
449	5780	7064
450	5790	7049
451	5802	7035
452	5815	7021
453	5826	7007
454	5837	6991
455	5848	6977
456	5860	6963
457	5871	6947
458	5885	6936
459	5897	6923
460	5911	6911
461	5923	6898
462	5936	6885
463	5948	6871
464	5961	6859
465	5972	6844
466	5983	6829
467	5995	6815
468	6007	6801
469	6018	6786
470	6032	6775
471	6045	6763
472	6057	6749
473	6068	6734
474	6080	6721
475	6093	6708
476	6106	6695
477	6117	6681
478	6129	6667
479	6141	6653
480	6152	6638
481	6163	6624
482	6177	6612
483	6189	6599
484	6201	6585
485	6212	6570
486	6224	6556
487	6236	6543
488	6253	6535
489	6274	6530
490	6294	6525
491	6321	6526
492	6338	6518
493	6353	6507
494	6368	6497
495	6383	6486
496	6397	6475
497	6410	6462
498	6424	6449
499	6438	6438
500	6453	6427
501	6469	6417
502	6484	6406
503	6498	6395
504	6511	6382
505	6525	6370
506	6540	6359
507	6555	6349
508	6570	6338
509	6586	6327
510	6602	6317
511	6617	6307
512	6631	6295
513	6644	6282
514	6659	6271
515	6672	6258
516	6685	6245
517	6700	6234
518	6714	6223
519	6729	6211
520	6743	6199
521	6757	6188
522	6769	6174
523	6783	6161
524	6798	6151
525	6814	6140
526	6829	6129
527	6844	6118
528	6858	6106
529	6872	6094
530	6884	6080
531	6896	6067
532	6909	6054
533	6921	6040
534	6932	6025
535	6943	6010
536	6955	5997
537	6966	5982
538	6977	5967
539	6989	5953
540	7001	5940
541	7012	5925
542	7023	5910
543	7035	5897
544	7048	5884
545	7059	5869
546	7071	5856
547	7084	5843
548	7095	5829
549	7106	5814
550	7118	5800
551	7129	5786
552	7140	5771
553	7152	5757
554	7163	5744
555	7174	5729
556	7186	5716
557	7217	5717
558	7234	5707
559	7250	5697
560	7269	5688
561	7288	5680
562	7310	5674
563	7326	5663
564	7344	5654
565	7360	5643
566	7373	5631
567	7387	5618
568	7408	5611
569	7428	5604
570	7444	5593
571	7464	5585
572	7484	5577
573	7511	5574
574	7535	5569
575	7552	5559
576	7572	5551
577	7595	5545
578	7613	5535
579	7630	5525
580	7648	5515
581	7662	5503
582	7676	5491
583	7692	5479
584	7707	5467
585	7722	5455
586	7737	5443
587	7750	5430
588	7762	5416
589	7776	5403
590	7791	5392
591	7809	5382
592	7823	5369
593	7837	5357
594	7852	5345
595	7867	5332
596	7880	5319
597	7894	5307
598	7908	5294
599	7923	5282
600	7937	5269
601	7952	5257
602	7967	5245
603	7980	5232
604	7992	5218
605	8005	5204
606	8020	5192
607	8035	5180
608	8049	5168
609	8063	5155
610	8077	5142
611	8090	5129
612	8105	5117
613	8119	5104
