symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
SBIN,1,0.7,846,94,135,2023-11-01,2024-08-08,0.5777777777777777,0.5622727272727273,0.6666666666666666,0.6263736263736264,0.7125,57,34,21,23,0.5407407407407407,0.5555555555555556,0.45185185185185184,0.5925925925925926,0.4888888888888889,0.5037037037037037,0.5777777777777777,0.4962962962962963,0.5925925925925926,0.5851851851851851,0.6263736263736264,0.4772727272727273,0.0,0.674074074074074,0.32592592592592595,0.15227356120964908,0
SBIN,2,0.75,908,100,134,2024-04-02,2024-12-20,0.5970149253731343,0.5474960700651247,0.686046511627907,0.5959595959595959,0.8082191780821918,59,40,21,14,0.5373134328358209,0.5597014925373134,0.5970149253731343,0.5746268656716418,0.47761194029850745,0.5149253731343284,0.4701492537313433,0.48507462686567165,0.4552238805970149,0.47761194029850745,0.5959595959595959,0.6,0.0,0.7388059701492538,0.26119402985074625,0.12489338355922995,0
SBIN,3,0.8,968,107,134,2024-08-09,2025-04-30,0.5149253731343284,0.4688057040998218,0.6368715083798883,0.504424778761062,0.8636363636363636,57,56,12,9,0.5074626865671642,0.44029850746268656,0.4626865671641791,0.5223880597014925,0.5074626865671642,0.4925373134328358,0.4925373134328358,0.5074626865671642,0.47761194029850745,0.5223880597014925,0.504424778761062,0.5714285714285714,0.0,0.8432835820895522,0.15671641791044777,0.11391060900748581,0
SBIN,4,0.85,1028,114,134,2024-12-23,2025-10-27,0.5373134328358209,0.513489409141583,0.6555555555555556,0.5315315315315315,0.855072463768116,59,52,13,10,0.5,0.5298507462686567,0.5074626865671642,0.4925373134328358,0.5074626865671642,0.5671641791044776,0.5671641791044776,0.5074626865671642,0.5223880597014925,0.4626865671641791,0.5315315315315315,0.5652173913043479,0.0,0.8283582089552238,0.17164179104477612,0.22096809361060393,0
SBIN,5,0.9,1089,120,135,2025-05-02,2026-03-25,0.48148148148148145,0.47649186256781195,0.5833333333333334,0.550561797752809,0.620253164556962,49,40,16,30,0.5481481481481482,0.5851851851851851,0.4666666666666667,0.5555555555555556,0.5407407407407407,0.5703703703703704,0.5777777777777777,0.4666666666666667,0.4222222222222222,0.5925925925925926,0.550561797752809,0.34782608695652173,0.0,0.6592592592592592,0.34074074074074073,0.7477199866765509,0
SBIN,6,0.95,1149,127,68,2025-10-28,2026-03-25,0.6323529411764706,0.6355311355311355,0.7368421052631579,0.660377358490566,0.8333333333333334,35,18,8,7,0.6176470588235294,0.6176470588235294,0.6323529411764706,0.5294117647058824,0.5588235294117647,0.5588235294117647,0.5147058823529411,0.5735294117647058,0.38235294117647056,0.4852941176470588,0.660377358490566,0.5333333333333333,0.0,0.7794117647058824,0.22058823529411764,0.1989631393463547,8
