model,close_rmse,close_mae,close_r2,close_mape,close_n_samples,high_rmse,high_mae,high_r2,high_mape,high_n_samples,low_rmse,low_mae,low_r2,low_mape,low_n_samples,direction_accuracy,direction_precision,direction_recall,direction_f1,direction_n_samples
XGBoost,0.019054490338225854,0.014081138215170695,-0.0457199035753022,1.4081138215170697,302,0.017765901311196687,0.014078239463072408,-0.4751471271737948,1.4078239463072408,302,0.013018258483072587,0.010199734739651444,-0.04246429366317517,1.0199734739651445,302,0.6423841059602649,0.5982142857142857,0.881578947368421,0.7127659574468085,302
LSTM,0.018846208438979183,0.013813981119317711,-1.0735405271189435e-05,1.381398111931771,292,0.014863072389106008,0.010979766269027868,-0.008105961356569713,1.0979766269027869,292,0.012880149641732385,0.00975387135689288,-0.0017914066697106712,0.975387135689288,292,0.5034246575342466,0.5034246575342466,1.0,0.6697038724373577,292
GRU,0.01884621057894989,0.01381394996865074,-1.0962505996747751e-05,1.381394996865074,292,0.014861485808346366,0.010974276409501988,-0.00789074930448308,1.0974276409501988,292,0.012880308107931242,0.009754638741178677,-0.0018160571679175508,0.9754638741178677,292,0.5034246575342466,0.5034246575342466,1.0,0.6697038724373577,292
Ensemble,0.01885549141136344,0.01382791667426962,-0.0009961175129191702,1.382791667426962,292,0.016146533122720796,0.013074195812828975,-0.18972769827728087,1.3074195812828975,292,0.01358479869759643,0.010976830981632681,-0.11440204222391914,1.0976830981632681,292,0.6472602739726028,0.602803738317757,0.8775510204081632,0.7146814404432134,292
