Stock,BestModel,DirectionAccuracy,Precision,Recall,F1Score,CloseMAPE,HighMAPE,LowMAPE,CloseR2,TestSamples,XGBoost_Acc,LSTM_Acc,GRU_Acc,Ensemble_Acc
DALBHARAT,XGBoost,69.41,64.84,80.27,71.73,1.07,0.93,0.97,0.0923,304,69.41,47.62,47.62,69.39
DRREDDY,XGBoost,69.33,74.04,63.5,68.37,1.05,0.71,0.74,-0.1359,525,69.33,52.62,52.62,68.93
BAJFINANCE,Ensemble,69.32,67.64,78.28,72.57,1.19,1.08,1.03,0.0176,515,68.38,51.84,51.84,69.32
WHIRLPOOL,XGBoost,69.26,65.83,75.62,70.38,1.57,1.35,1.21,-0.0883,501,69.26,51.32,51.32,69.04
PERSISTENT,Ensemble,69.04,68.68,75.1,71.75,1.5,1.27,1.23,0.0604,491,68.66,52.34,52.34,69.04
SBICARD,XGBoost,68.98,73.45,64.34,68.6,1.11,0.89,0.86,0.128,245,68.98,46.38,46.38,68.51
SBILIFE,XGBoost,68.97,69.89,64.4,67.03,1.1,0.79,0.78,-0.0602,390,68.97,49.47,49.47,68.68
GAIL,Ensemble,68.84,63.19,82.73,71.65,1.33,1.11,1.05,-0.0017,292,68.21,47.6,47.6,68.84
TRENT,Ensemble,68.49,62.42,72.09,66.91,1.68,1.54,1.29,-0.0248,292,67.88,44.18,44.18,68.49
ACC,XGBoost,68.46,66.79,72.69,69.62,1.15,0.88,0.87,0.0559,501,68.46,50.71,50.71,68.02
ITC,Ensemble,68.35,74.25,50.82,60.34,0.8,0.68,0.68,0.0012,515,68,52.62,52.62,68.35
DLF,XGBoost,68.21,65.5,75.17,70,1.35,1.18,1.06,0.1535,302,68.21,48.97,48.97,68.15
BLUESTARCO,XGBoost,68.2,71.36,62.06,66.38,1.65,1.23,1.25,0.0374,500,68.2,50.61,50.61,68.16
CIPLA,XGBoost,68.19,77,56,64.84,0.96,0.7,0.8,0.2239,525,68.19,47.38,47.38,67.96
HINDUNILVR,Ensemble,68.16,62.75,86.56,72.76,0.84,0.72,0.65,0.0161,515,68,49.13,49.13,68.16
HINDZINC,Ensemble,68.15,64.71,71.74,68.04,1.62,1.28,1.22,-0.0005,292,67.88,47.26,47.26,68.15
VBL,XGBoost,67.32,58.05,87.57,69.82,1.61,1.5,1.12,0.0118,410,67.32,42.75,42.75,67
LTTS,XGBoost,67.31,62.89,79.7,70.31,1.38,0.94,0.98,-0.0802,416,67.31,49.26,49.26,67
BPCL,XGBoost,66.89,69.91,54.48,61.24,1.28,0.95,1,0.0041,302,66.89,52.05,52.05,66.78
