model,close_rmse,close_mae,close_r2,close_mape,close_n_samples,high_rmse,high_mae,high_r2,high_mape,high_n_samples,low_rmse,low_mae,low_r2,low_mape,low_n_samples,direction_accuracy,direction_precision,direction_recall,direction_f1,direction_n_samples
XGBoost,0.02491452866750744,0.017841033598405186,0.14058499048637385,1.7841033598405185,501,0.017224438501720327,0.01302935088517052,0.19023316656765377,1.302935088517052,501,0.020896724328406613,0.0152296924525907,-0.0022528974619446807,1.52296924525907,501,0.6606786427145709,0.8231292517006803,0.45660377358490567,0.5873786407766991,501
LSTM,0.027017370204018034,0.019000538132894707,-0.0009392217869794717,1.9000538132894707,491,0.019224003725506016,0.01358849273603473,-0.00015600255948311492,1.358849273603473,491,0.021026759652604445,0.013807379177290451,-0.002797163770257294,1.380737917729045,491,0.4745417515274949,0.0,0.0,0.0,491
GRU,0.02702074252176871,0.019006459739335218,-0.0011891125605163477,1.9006459739335217,491,0.019224713827274743,0.013577058119677854,-0.00022989202325751634,1.3577058119677854,491,0.02102687609548597,0.013807051706443417,-0.002808270466351903,1.3807051706443416,491,0.4745417515274949,0.0,0.0,0.0,491
Ensemble,0.02639688472569085,0.018584374769574256,0.04450831571128522,1.8584374769574257,491,0.01919451227702783,0.014617611639254072,0.0029103123215676874,1.4617611639254073,491,0.020808255881005152,0.014619961018563048,0.017936080685042155,1.4619961018563048,491,0.6639511201629328,0.8206896551724138,0.46124031007751937,0.5905707196029777,491
