model,close_rmse,close_mae,close_r2,close_mape,close_n_samples,high_rmse,high_mae,high_r2,high_mape,high_n_samples,low_rmse,low_mae,low_r2,low_mape,low_n_samples,direction_accuracy,direction_precision,direction_recall,direction_f1,direction_n_samples
XGBoost,0.014328689825096951,0.009616941671645961,0.003763302589729789,0.9616941671645961,525,0.011074034647553696,0.007755493228442046,0.019352849309700493,0.7755493228442046,525,0.011063829030845648,0.007176829649268188,0.10092782734603045,0.7176829649268188,525,0.7447619047619047,0.7263157894736842,0.7870722433460076,0.7554744525547445,525
LSTM,0.014397081957827107,0.009631173043805629,-7.648436244611645e-05,0.9631173043805629,515,0.011262501800308205,0.007523167910441453,-0.004722167622399187,0.7523167910441453,515,0.011811324916077979,0.007196140597550967,-0.015036888382454316,0.7196140597550967,515,0.5067961165048543,0.5067961165048543,1.0,0.6726804123711341,515
GRU,0.014396675945372875,0.009629384828170773,-2.00787958730686e-05,0.9629384828170773,515,0.011262524215705798,0.007523256140144546,-0.00472616695925554,0.7523256140144546,515,0.011860100659574668,0.0073098671074182065,-0.023437538635605826,0.7309867107418206,515,0.5067961165048543,0.5067961165048543,1.0,0.6726804123711341,515
Ensemble,0.01439477639249616,0.009629924411521742,0.00024379679665653686,0.9629924411521742,515,0.011599411597494813,0.008281884340922363,-0.06573236824660755,0.8281884340922363,515,0.012029047713560547,0.007852669568209313,-0.05280293609458053,0.7852669568209313,515,0.7436893203883496,0.7295373665480427,0.7854406130268199,0.7564575645756457,515
