model,n_features,close_rmse,close_mae,close_r2,close_mape,close_n_samples,high_rmse,high_mae,high_r2,high_mape,high_n_samples,low_rmse,low_mae,low_r2,low_mape,low_n_samples,direction_accuracy,direction_precision,direction_recall,direction_f1,direction_n_samples
XGBoost,244,0.015056608468639317,0.010460553853555776,-0.2962735247349,1.0460553853555776,525,0.01066100698748602,0.007712679175442767,-0.22180943273058773,0.7712679175442767,525,0.009972946958747246,0.007009192182863513,0.011604015268341539,0.7009192182863513,525,0.7161904761904762,0.7214285714285714,0.73992673992674,0.7305605786618444,525
LSTM,244,0.01329742367299854,0.009619876381018537,-0.0004378679619130299,0.9619876381018537,525,0.009886246263548632,0.007391249757267446,-0.038791486943165365,0.7391249757267446,525,0.010254417939925271,0.007369561253374549,-0.03191232902535668,0.7369561253374549,525,0.5262135922330097,0.5262135922330097,1.0,0.6895674300254453,525
GRU,244,0.013295766150442177,0.009616834037056439,-0.00018847454211745607,0.9616834037056439,525,0.009885505856370384,0.007389842281107313,-0.03863589707576942,0.7389842281107314,525,0.010252260109665587,0.0073658744576458966,-0.03147808548635811,0.7365874457645897,525,0.5262135922330097,0.5262135922330097,1.0,0.6895674300254453,525
Ensemble,244,0.013218225723424964,0.009587262739271893,0.011443633219301197,0.9587262739271893,525,0.010336140272094113,0.008181499020824564,-0.13548740696266037,0.8181499020824564,525,0.010203413472605888,0.007383592440375351,-0.021672597150458994,0.7383592440375352,525,0.7223300970873786,0.7352941176470589,0.7380073800738007,0.7366482504604052,525
