model,close_rmse,close_mae,close_r2,close_mape,close_n_samples,high_rmse,high_mae,high_r2,high_mape,high_n_samples,low_rmse,low_mae,low_r2,low_mape,low_n_samples,direction_accuracy,direction_precision,direction_recall,direction_f1,direction_n_samples
XGBoost,0.017723342840460978,0.01233515339938834,0.0039389930793037875,1.2335153399388339,525,0.010988608136019236,0.0073445755080713375,0.2701264727483421,0.7344575508071337,525,0.015722668916132606,0.010327284752418198,-0.005867470169800715,1.0327284752418198,525,0.72,0.844559585492228,0.5821428571428572,0.6892177589852009,525
LSTM,0.017864343020811222,0.012291401311270274,-0.0032701571640341154,1.2291401311270274,515,0.012913735788348696,0.009277494475451257,-0.0010635698220946566,0.9277494475451257,515,0.015772559982309423,0.009901188631471025,-0.0002942038162623284,0.9901188631471025,515,0.46601941747572817,0.0,0.0,0.0,515
GRU,0.017864336837507846,0.01229139226791898,-0.003269462649528876,1.2291392267918981,515,0.012913735757992189,0.009277494220467796,-0.0010635651156651882,0.9277494220467796,515,0.01577256728727277,0.009901296894555635,-0.00029513037659167907,0.9901296894555635,515,0.46601941747572817,0.0,0.0,0.0,515
Ensemble,0.01786056220559523,0.012291888734035994,-0.0028455372743765306,1.2291888734035994,515,0.012500015401235189,0.008888652519655394,0.06205157163268116,0.8888652519655393,515,0.015891064783886074,0.010431325032509606,-0.015381796625318023,1.0431325032509606,515,0.7203883495145631,0.8429319371727748,0.5854545454545454,0.6909871244635193,515
