symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
NESTLEIND,1,0.7,628,69,100,2024-05-07,2024-12-30,0.41,0.354,0.4778761061946903,0.42857142857142855,0.54,27,36,14,23,0.44,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.3783783783783784,0.0,0.63,0.37,0.5637208684221837,0
NESTLEIND,2,0.75,673,74,100,2024-09-04,2025-05-06,0.47,0.45885186672019274,0.576,0.46153846153846156,0.7659574468085106,36,42,11,11,0.55,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.5,0.0,0.78,0.22,0.774789808872019,0
NESTLEIND,3,0.8,718,79,100,2025-01-01,2025-08-13,0.51,0.5166066426570628,0.6423357664233577,0.5116279069767442,0.8627450980392157,44,42,7,7,0.5,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5116279069767442,0.5,0.0,0.86,0.14,1.0,0
NESTLEIND,4,0.85,763,84,100,2025-05-08,2025-12-16,0.47,0.468349358974359,0.6074074074074074,0.47126436781609193,0.8541666666666666,41,46,6,7,0.44,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47126436781609193,0.46153846153846156,0.0,0.87,0.13,1.0,0
NESTLEIND,5,0.9,808,89,100,2025-08-14,2026-04-10,0.52,0.5364583333333334,0.6307692307692307,0.5,0.8541666666666666,41,41,11,7,0.53,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6111111111111112,0.0,0.82,0.18,0.17579358657032276,0
NESTLEIND,6,0.95,853,94,50,2025-12-18,2026-04-10,0.52,0.5456,0.5384615384615384,0.5185185185185185,0.56,14,13,12,11,0.62,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.5217391304347826,0.0,0.54,0.46,1.0,0
