iter	Logloss
142	0.5778462182
143	0.5773278897
144	0.5769452739
145	0.5761873049
146	0.5754976247
147	0.5749858705
148	0.5741548652
149	0.5733977219
150	0.572972343
151	0.5721772656
152	0.5715674746
153	0.5710248576
154	0.570297884
155	0.5697371647
156	0.5691359865
157	0.5682450349
158	0.5675047558
159	0.5671242747
160	0.5666793195
161	0.5662994706
162	0.5658021113
163	0.5652330826
164	0.5645683514
165	0.5640910807
166	0.5636608145
167	0.5629121222
168	0.56239883
169	0.5619350866
170	0.5609899519
171	0.5604434674
172	0.5596783286
173	0.5593183365
174	0.5587728673
175	0.5582732624
176	0.557897407
177	0.5575508629
178	0.5571938348
179	0.5565790246
180	0.5558771299
181	0.5554004612
182	0.5548420596
183	0.5543590888
184	0.5538092841
185	0.5533989022
186	0.5527025903
187	0.5522865341
188	0.5517972103
189	0.5511870682
190	0.5507090157
191	0.5503116004
192	0.5496238569
193	0.5492619414
194	0.5487822448
195	0.5479296046
196	0.5475432231
197	0.5471546124
198	0.546789082
199	0.546288147
200	0.5457484915
201	0.5451580325
202	0.5447003472
203	0.5442915318
204	0.543759771
205	0.5433857878
206	0.5430755114
207	0.5426283527
208	0.542200213
209	0.5416779143
210	0.5411176505
211	0.5407243896
212	0.5401403425
213	0.5396265782
214	0.5389695273
215	0.5386337917
216	0.5380394427
217	0.5376208873
218	0.5373262794
219	0.5365894481
220	0.5360122758
221	0.5353100008
222	0.5347624238
223	0.5341820468
224	0.5337287556
225	0.5332821499
226	0.5327772584
227	0.5323743717
228	0.5319044818
229	0.5313188756
230	0.5307000442
231	0.529681459
232	0.5292332046
233	0.5287577837
234	0.5282028136
235	0.5277962164
236	0.5272830157
237	0.5270374109
238	0.52667292
239	0.5261143431
240	0.5256088596
241	0.5251542956
242	0.5247997138
243	0.5245045142
244	0.5239929148
245	0.5233794739
246	0.5230665895
247	0.5226288964
248	0.522141911
249	0.5217499796
250	0.5211311946
251	0.5207876939
252	0.520586483
253	0.5202743626
254	0.5198800702
255	0.5193163669
256	0.5189961808
257	0.5185009072
258	0.5179716317
259	0.5176293164
260	0.5171819982
261	0.5166774559
262	0.5161873859
263	0.5156668014
264	0.5151808765
265	0.5146672792
266	0.5138259612
267	0.5135784205
268	0.5132659248
269	0.5129184506
270	0.512497908
271	0.5120297296
272	0.5116160983
273	0.5112740332
274	0.5109134598
275	0.5105637127
276	0.5103024515
277	0.5097625661
278	0.5092770912
279	0.5086876416
280	0.5081163055
281	0.5076710075
282	0.5071553301
283	0.5067677927
284	0.5064193621
285	0.5060125631
286	0.5056538163
287	0.5053570101
288	0.5049723191
289	0.5046797678
290	0.5043275945
291	0.5038522531
292	0.5032885885
293	0.5029171143
294	0.5025936415
295	0.5022289356
296	0.5016888423
297	0.5012856931
298	0.5007883156
299	0.5004256659
300	0.5000911764
301	0.4996077287
302	0.4993285642
303	0.4989337509
304	0.4984398015
305	0.4979766239
306	0.4976752242
307	0.4970659403
308	0.4966962367
309	0.4962660421
310	0.4957278169
311	0.495340769
312	0.4949170762
313	0.4945266656
314	0.4943065753
315	0.4939259044
316	0.4936954466
317	0.4933781633
318	0.4928827758
319	0.4924805317
320	0.4917745904
321	0.4914988334
322	0.4911721718
323	0.4907427326
324	0.4902704436
325	0.490057258
326	0.4897795903
