iter	Logloss
0	0.6916313915
1	0.690388498
2	0.6889039162
3	0.6881225085
4	0.6871371738
5	0.686084932
6	0.6851152566
7	0.6840533434
8	0.6826294726
9	0.6815435851
10	0.6806169928
11	0.679909764
12	0.6790349658
13	0.6780079096
14	0.676723841
15	0.6760426201
16	0.675118568
17	0.6738344257
18	0.6726914325
19	0.671504936
20	0.6704573322
21	0.6694070598
22	0.6680744598
23	0.6674212253
24	0.6665347163
25	0.6654577095
26	0.6644470266
27	0.6634379763
28	0.6624134391
29	0.6614929337
30	0.6604694872
31	0.6592935241
32	0.6583082312
33	0.6577262379
34	0.6565091674
35	0.655382811
36	0.6544094748
37	0.6535764291
38	0.6529514938
39	0.6518798572
40	0.6509309304
41	0.6498940235
42	0.649063583
43	0.6479204789
44	0.6470400911
45	0.6462274307
46	0.6454248137
47	0.6444160697
48	0.643603112
49	0.6426805667
50	0.641974859
51	0.6410859659
52	0.6402782511
53	0.6395136362
54	0.6386758794
55	0.6380496124
56	0.6372879784
57	0.636357304
58	0.6355799449
59	0.6347979456
60	0.6342022303
61	0.6330410764
62	0.6322492525
63	0.6317121537
64	0.63077936
65	0.6300599247
66	0.6294229583
67	0.62800778
68	0.6275197392
69	0.6264694796
70	0.6255928015
71	0.6250179005
72	0.6242244196
73	0.6236588
74	0.6229792731
75	0.6223111538
76	0.621801805
77	0.621044304
78	0.620273393
79	0.619448231
80	0.6189398581
81	0.6182138001
82	0.6175179502
83	0.616688672
84	0.6158446255
85	0.6149824747
86	0.6141874191
87	0.6134069496
88	0.6126699347
89	0.6116153338
90	0.6108780312
91	0.6103472338
92	0.6097540015
93	0.6091999191
94	0.6081586445
95	0.6072795616
96	0.6069201761
97	0.6059475079
98	0.604910572
99	0.6042276886
100	0.6038001284
101	0.6031806713
102	0.6028025289
103	0.602147425
104	0.6013759366
105	0.6006528506
106	0.5997969813
107	0.5987839708
108	0.598022789
109	0.5975011524
110	0.597129685
111	0.5964902357
112	0.5957558463
113	0.5951500603
114	0.5943081387
115	0.5931490816
116	0.5926453883
117	0.5921521978
118	0.5911855756
119	0.5907563081
120	0.590193068
121	0.5897448919
122	0.5891566069
123	0.5886800971
124	0.5882721088
125	0.5872443172
126	0.5865643272
127	0.586103143
128	0.5856017274
129	0.5848373668
130	0.5842843039
131	0.5837910536
132	0.5833278795
133	0.5829444464
134	0.5823104604
135	0.5817990935
136	0.5809812462
137	0.5803179347
138	0.5800423386
139	0.5796874305
140	0.5789098075
141	0.5785039646
