symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
BPCL,1,0.7,717,79,114,2024-05-15,2024-12-18,0.5789473684210527,0.6370370370370371,0.5714285714285714,0.6153846153846154,0.5333333333333333,32,20,34,28,0.5614035087719298,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.5483870967741935,0.0,0.45614035087719296,0.543859649122807,1.0,0
BPCL,2,0.75,768,85,114,2024-09-05,2025-04-29,0.5175438596491229,0.5057010785824345,0.6099290780141844,0.524390243902439,0.7288135593220338,43,39,16,16,0.5350877192982456,0.5526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524390243902439,0.5,0.0,0.7192982456140351,0.2807017543859649,0.3749286381793612,0
BPCL,3,0.8,819,91,114,2024-12-20,2025-08-20,0.4824561403508772,0.48926237161531283,0.609271523178808,0.5227272727272727,0.7301587301587301,46,42,9,17,0.543859649122807,0.5614035087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227272727272727,0.34615384615384615,0.0,0.7719298245614035,0.22807017543859648,0.4826407521589239,0
BPCL,4,0.85,871,96,114,2025-05-05,2025-12-11,0.5087719298245614,0.4992150706436421,0.5625,0.5714285714285714,0.5538461538461539,36,27,22,29,0.49122807017543857,0.5701754385964912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.43137254901960786,0.0,0.5526315789473685,0.4473684210526316,1.0,0
BPCL,5,0.9,922,102,114,2025-08-21,2026-04-22,0.4824561403508772,0.4074074074074074,0.549618320610687,0.5070422535211268,0.6,36,35,19,24,0.5087719298245614,0.4473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5070422535211268,0.4418604651162791,0.0,0.6228070175438597,0.37719298245614036,0.3986812787263766,0
BPCL,6,0.95,973,108,57,2025-12-19,2026-04-22,0.5614035087719298,0.4844155844155844,0.5901639344262295,0.46153846153846156,0.8181818181818182,18,21,14,4,0.38596491228070173,0.38596491228070173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.7777777777777778,0.0,0.6842105263157895,0.3157894736842105,0.3413051136141848,0
