symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
ABB,0.498028909,0.611788618,6,761,50,1383
ADANIENT,0.479220779,0.623474178,6,770,50,1398
ADANIPORTS,0.536931818,0.54084507,6,704,50,1278
ALKEM,0.514726508,0.621444201,6,713,50,1296
AMBUJACEM,0.492772668,0.645220588,6,761,50,1383
ASIANPAINT,0.483260553,0.620320856,6,687,50,1248
AUBANK,0.538659794,0.610021786,6,776,47,1409
AUROPHARMA,0.519430052,0.415748031,6,772,50,1402
AXISBANK,0.480640854,0.583957219,6,749,47,1360
BAJAJ-AUTO,0.515625,0.666013712,6,704,50,1278
BAJAJFINSV,0.481632653,0.595111583,6,735,47,1334
BAJFINANCE,0.508086253,0.620187305,6,742,47,1348
BANDHANBNK,0.523447402,0.393548387,6,789,47,1433
BEL,0.520650814,0.66608544,6,799,50,1451
BERGEPAINT,0.506329114,0.656891496,6,711,50,1292
BHARTIARTL,0.580110497,0.642352941,6,724,50,1316
BHEL,0.530712531,0.645640074,6,814,50,1478
BOSCHLTD,0.474341193,0.568828214,6,721,50,1309
BPCL,0.510335917,0.57367829,6,774,50,1406
BRITANNIA,0.560422961,0.635794743,6,662,50,1202
CHOLAFIN,0.474406991,0.552603613,6,801,47,1455
CIPLA,0.505021521,0.500723589,6,697,50,1266
COALINDIA,0.512064343,0.622406639,6,746,50,1354
COFORGE,0.546835443,0.687609075,6,790,50,1435
COLPAL,0.473011364,0.603208556,6,704,50,1278
CUMMINSIND,0.524183007,0.638888889,6,765,50,1389
DIVISLAB,0.51159618,0.668518519,6,733,50,1331
DLF,0.506883605,0.65916955,6,799,50,1452
DMART,0.460490463,0.61023622,6,734,50,1333
DRREDDY,0.519313305,0.664670659,6,699,50,1270
EICHERMOT,0.544253633,0.62295082,6,757,50,1375
ETERNAL,0.449411765,0.588028169,6,425,50,771
EXIDEIND,0.478609626,0.520884521,6,748,50,1357
FEDERALBNK,0.511288181,0.593818985,6,753,47,1368
GAIL,0.521963824,0.638671875,6,774,50,1406
GODREJCP,0.48579161,0.476584022,6,739,50,1342
GODREJPROP,0.510559006,0.624045802,6,805,50,1462
GRASIM,0.50536193,0.656744186,6,746,50,1354
HAL,0.504032258,0.606189968,6,744,50,1351
HAVELLS,0.482240437,0.628066732,6,732,50,1329
HCLTECH,0.516129032,0.676056338,6,713,50,1296
HDFCBANK,0.521418021,0.62412993,6,677,47,1230
HDFCLIFE,0.544097693,0.393501805,6,737,47,1337
HEROMOTOCO,0.504,0.632411067,6,750,50,1361
HINDALCO,0.521518987,0.639312977,6,790,50,1435
HINDUNILVR,0.511177347,0.527377522,6,671,50,1220
ICICIBANK,0.539454806,0.687439143,6,697,47,1265
ICICIGI,0.488340192,0.542331288,6,729,47,1324
IDFCFIRSTB,0.5,0.467567568,6,788,47,1430
INDUSINDBK,0.497461929,0.602409639,6,788,47,1431
INDUSTOWER,0.544155844,0.588511137,6,770,50,1398
INFY,0.476987448,0.62006079,6,717,50,1302
IRFC,0.54047619,0.218623482,6,420,50,761
ITC,0.522366522,0.540915395,6,693,50,1259
JSWSTEEL,0.519582245,0.618257261,6,766,50,1391
KOTAKBANK,0.544055944,0.589420655,6,715,47,1299
LT,0.545454545,0.685714286,6,726,50,1319
LTIM,0.546296296,0.643080125,6,756,50,1373
LUPIN,0.506105834,0.595555556,6,737,50,1339
M&M,0.556149733,0.682600382,6,748,50,1357
MANAPPURAM,0.52195734,0.561565017,6,797,47,1448
MARICO,0.476190476,0.495132128,6,693,50,1257
MARUTI,0.525495751,0.549125168,6,706,50,1281
MOTHERSON,0.498136646,0.596,6,805,50,1462
MPHASIS,0.460746461,0.576339737,6,777,50,1411
