model,avg_accuracy,median_accuracy,win_ratio,max_accuracy,min_accuracy,std_accuracy,n_datapoints
LightGBM,0.5102602466324191,0.5077524038461538,0.5606060606060606,0.6567164179104478,0.3188405797101449,0.0465346135983909,594
XGBoost,0.510059696472526,0.507874503968254,0.5589225589225589,0.6666666666666666,0.3333333333333333,0.04603161601911414,594
BiLSTM,0.5059477958400196,0.5039685039370079,0.5134680134680135,0.6567164179104478,0.3333333333333333,0.04510006844534495,594
CNN_GRU,0.5056781283580856,0.5074626865671642,0.5437710437710438,0.6923076923076923,0.376,0.044140647407645034,594
CNN_LSTM,0.504599504145511,0.5066251316251316,0.5269360269360269,0.6666666666666666,0.3472222222222222,0.0454224787391827,594
GRU,0.5045348333511662,0.5068968797564688,0.5303030303030303,0.6470588235294118,0.3333333333333333,0.04448961089920899,594
LSTM,0.5040080010666778,0.5039064884331319,0.5252525252525253,0.6567164179104478,0.3289473684210526,0.044310014339959465,594
