model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_stocks
NBEATS,0.529660432043626,0.5281999351201592,0.5513954530009576,0.5093859080097612,0.02104281958387302,3
LGBM,0.5223555767588093,0.5181668880445639,0.5325346098880385,0.5163652323438256,0.008861209138738299,3
GRU,0.5206406235723039,0.5135160489930474,0.5397288378175228,0.5086769839063418,0.01670700691422238,3
BILSTM,0.5192639142377012,0.5219485888446133,0.5282249226264062,0.5076182312420844,0.010562411692455429,3
TCN_TRANSFORMER,0.5151821892738312,0.5170594837261504,0.5412320155711617,0.48725506852418166,0.027037397784802707,3
XGB,0.511149530244413,0.5124959450099512,0.5246203111646536,0.4963323345586342,0.01419197060511047,3
CNN_LSTM,0.5086138613866883,0.495538463122561,0.5355984288557476,0.4947046921817564,0.023373039053888378,3
TCN_GRU,0.49489675229519375,0.4990504747626187,0.5155718757400715,0.47006790638289103,0.023034601463170514,3
LSTM,0.4900407168760237,0.5009184608572989,0.503324787116836,0.4658789026539362,0.02095930703515353,3
CNN_GRU,0.0,0.0,0.0,0.0,0.0,3
