symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
ABB,1,0.7,879,97,140,2024-02-09,2024-10-16,0.5928571428571429,0.5258397932816538,0.7106598984771574,0.6306306306306306,0.813953488372093,70,41,13,16,0.4357142857142857,0.6214285714285714,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.55,0.55,0.6306306306306306,0.4482758620689655,0.0,0.7928571428571428,0.20714285714285716,0.24542585623478816,0
ABB,2,0.75,942,104,139,2024-06-14,2025-02-10,0.5107913669064749,0.5410447761194029,0.5853658536585366,0.4948453608247423,0.7164179104477612,48,49,23,19,0.5179856115107914,0.48201438848920863,0.0,0.460431654676259,0.0,0.0,0.0,0.0,0.4676258992805755,0.5323741007194245,0.4948453608247423,0.5476190476190477,0.0,0.697841726618705,0.302158273381295,0.16964128144710375,0
ABB,3,0.8,1005,111,139,2024-10-17,2025-07-08,0.5107913669064749,0.501656314699793,0.6633663366336634,0.5037593984962406,0.9710144927536232,67,66,4,2,0.5107913669064749,0.49640287769784175,0.0,0.5035971223021583,0.0,0.0,0.0,0.0,0.4748201438848921,0.5251798561151079,0.5037593984962406,0.6666666666666667,0.0,0.9568345323741008,0.04316546762589928,0.1775169673333013,0
ABB,4,0.85,1067,118,140,2025-02-13,2025-11-27,0.45714285714285713,0.4976525821596244,0.62,0.4806201550387597,0.8732394366197183,62,67,2,9,0.4928571428571429,0.5285714285714286,0.0,0.5,0.0,0.0,0.0,0.0,0.4928571428571429,0.4857142857142857,0.4806201550387597,0.18181818181818177,0.0,0.9214285714285714,0.07857142857142857,1.0,0
ABB,5,0.9,1130,125,140,2025-07-10,2026-04-10,0.5142857142857142,0.403390522875817,0.66,0.515625,0.9166666666666666,66,62,6,6,0.4357142857142857,0.5071428571428571,0.0,0.44285714285714284,0.0,0.0,0.0,0.0,0.4928571428571429,0.5142857142857142,0.515625,0.5,0.0,0.9142857142857143,0.08571428571428572,0.6000770986353383,0
ABB,6,0.95,1193,132,70,2025-12-02,2026-04-10,0.6,0.4011579818031431,0.7083333333333334,0.5964912280701754,0.8717948717948718,34,23,8,5,0.37142857142857144,0.5571428571428572,0.0,0.44285714285714284,0.0,0.0,0.0,0.0,0.42857142857142855,0.5285714285714286,0.5964912280701754,0.6153846153846154,0.0,0.8142857142857143,0.18571428571428572,0.40185652898130786,3
