symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
HDFCBANK,0.5050335570469798,0.5743145743145743,6.0,596,47.0,1081.0
ICICIBANK,0.4991624790619765,0.6141935483870967,6.0,597,47.0,1084.0
SBIN,0.49920760697305866,0.6174334140435835,6.0,631,47.0,1146.0
AXISBANK,0.4915254237288136,0.5429362880886427,6.0,649,47.0,1180.0
INDUSINDBK,0.47214076246334313,0.5275590551181102,6.0,682,47.0,1240.0
KOTAKBANK,0.545016077170418,0.5639445300462249,6.0,622,47.0,1130.0
IDFCFIRSTB,0.47947214076246336,0.5395590142671854,6.0,682,47.0,1240.0
BANDHANBNK,0.5352112676056338,0.4387755102040816,6.0,710,47.0,1289.0
FEDERALBNK,0.500768049155146,0.5962732919254659,6.0,651,47.0,1181.0
AUBANK,0.5233918128654971,0.5421348314606742,6.0,684,47.0,1242.0
BAJFINANCE,0.5147744945567652,0.5125,6.0,643,47.0,1168.0
BAJAJFINSV,0.4984375,0.5143721633888049,6.0,640,47.0,1161.0
MUTHOOTFIN,0.5053272450532724,0.6135552913198573,6.0,657,47.0,1193.0
ICICIGI,0.49760765550239233,0.5263157894736842,6.0,627,47.0,1139.0
SBILIFE,0.5211038961038961,0.5383411580594679,6.0,616,47.0,1120.0
HDFCLIFE,0.5172955974842768,0.5284178187403994,6.0,636,47.0,1154.0
TCS,0.49233390119250425,0.5401234567901234,6.0,587,50.0,1066.0
INFY,0.5380952380952381,0.6135458167330677,6.0,630,50.0,1144.0
SHRIRAMFIN,0.5239477503628447,0.5980392156862745,6.0,689,47.0,1251.0
CHOLAFIN,0.4757142857142857,0.4823695345557123,6.0,700,47.0,1272.0
WIPRO,0.5376,0.5805515239477503,6.0,625,50.0,1135.0
HCLTECH,0.5258899676375405,0.6169934640522876,6.0,618,50.0,1123.0
LTIM,0.5425531914893617,0.6194690265486725,6.0,658,50.0,1195.0
TECHM,0.4823348694316436,0.5651612903225807,6.0,651,50.0,1183.0
TATAELXSI,0.5465465465465466,0.40551181102362205,6.0,666,50.0,1209.0
MPHASIS,0.47352941176470587,0.4943502824858757,6.0,680,50.0,1234.0
PERSISTENT,0.5065502183406113,0.6169491525423729,6.0,687,50.0,1247.0
COFORGE,0.5028490028490028,0.5686032138442522,6.0,702,50.0,1276.0
M&M,0.5347758887171561,0.6479532163742691,6.0,647,50.0,1174.0
MARUTI,0.4540983606557377,0.5457025920873124,6.0,610,50.0,1107.0
TVSMOTOR,0.5151057401812689,0.6588735387885228,6.0,662,50.0,1202.0
BAJAJ-AUTO,0.511437908496732,0.5931972789115646,6.0,612,50.0,1111.0
HEROMOTOCO,0.517774343122102,0.5883905013192612,6.0,647,50.0,1175.0
HINDUNILVR,0.49914236706689535,0.54375,6.0,583,50.0,1060.0
EICHERMOT,0.5037593984962406,0.5352112676056338,6.0,665,50.0,1208.0
MOTHERSON,0.520863309352518,0.6295884315906563,6.0,695,50.0,1263.0
BRITANNIA,0.542608695652174,0.6352288488210819,6.0,575,50.0,1044.0
ITC,0.5041597337770383,0.5239616613418531,6.0,601,50.0,1091.0
NESTLEIND,0.5145797598627787,0.6231691078561917,6.0,583,50.0,1060.0
TATACONSUM,0.49226006191950467,0.5406162464985994,6.0,646,50.0,1173.0
COLPAL,0.4779050736497545,0.5449358059914408,6.0,611,50.0,1109.0
SUNPHARMA,0.5,0.5706293706293706,6.0,614,50.0,1115.0
GODREJCP,0.5286821705426357,0.4899328859060403,6.0,645,50.0,1171.0
MARICO,0.5188216039279869,0.5545454545454546,6.0,611,50.0,1109.0
DRREDDY,0.509090909090909,0.6355828220858896,6.0,605,50.0,1099.0
CIPLA,0.5049180327868853,0.5673352435530086,6.0,610,50.0,1107.0
LUPIN,0.484375,0.5516304347826086,6.0,640,50.0,1163.0
DIVISLAB,0.530239099859353,0.5856079404466501,6.0,711,50.0,1291.0
RELIANCE,0.5056360708534622,0.576551724137931,6.0,621,50.0,1127.0
ALKEM,0.5422647527910686,0.594059405940594,6.0,627,50.0,1137.0
TORNTPHARM,0.5426731078904992,0.6423173803526449,6.0,621,50.0,1128.0
AUROPHARMA,0.5200594353640416,0.47649918962722854,6.0,673,50.0,1223.0
BPCL,0.4767616191904048,0.5389696169088507,6.0,667,50.0,1212.0
NTPC,0.515625,0.6246973365617433,6.0,640,50.0,1161.0
POWERGRID,0.4753577106518283,0.6215596330275229,6.0,629,50.0,1142.0
ONGC,0.5111441307578009,0.5973072215422277,6.0,673,50.0,1223.0
COALINDIA,0.511520737327189,0.6025,6.0,651,50.0,1182.0
TATAPOWER,0.5279255319148937,0.6282722513089005,6.0,752,50.0,1366.0
GAIL,0.5186615186615187,0.6112266112266113,6.0,777,50.0,1412.0
TATASTEEL,0.54177545691906,0.6254002134471718,6.0,766,50.0,1392.0
