symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
BEL,1,0.7,729,81,116,2024-04-16,2024-11-28,0.6293103448275862,0.6877828054298643,0.7189542483660131,0.625,0.8461538461538461,55,33,18,10,0.6379310344827587,0.5603448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.6428571428571428,0.0,0.7586206896551724,0.2413793103448276,0.18752763734017797,0
BEL,2,0.75,782,86,116,2024-08-14,2025-03-26,0.5603448275862069,0.6664679582712368,0.6709677419354839,0.52,0.9454545454545454,52,48,13,3,0.5862068965517241,0.47413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.8125,0.0,0.8620689655172413,0.13793103448275862,0.3817624639669335,0
BEL,3,0.8,834,92,116,2024-12-02,2025-07-21,0.5689655172413793,0.6346907993966817,0.6835443037974683,0.5806451612903226,0.8307692307692308,54,39,12,11,0.5603448275862069,0.5948275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5806451612903226,0.5217391304347826,0.0,0.8017241379310345,0.19827586206896552,0.668952890384689,0
BEL,4,0.85,886,98,116,2025-03-27,2025-12-01,0.5689655172413793,0.5664828431372548,0.6710526315789473,0.6071428571428571,0.75,51,33,15,17,0.5431034482758621,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.46875,0.0,0.7241379310344828,0.27586206896551724,0.6614185703566697,0
BEL,5,0.9,938,104,116,2025-07-22,2026-04-16,0.5344827586206896,0.5395833333333333,0.6197183098591549,0.5365853658536586,0.7333333333333333,44,38,18,16,0.4827586206896552,0.5431034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5365853658536586,0.5294117647058824,0.0,0.7068965517241379,0.29310344827586204,0.4985443845664166,0
BEL,6,0.95,990,110,58,2025-12-02,2026-04-16,0.6206896551724138,0.6296296296296297,0.725,0.5918367346938775,0.9354838709677419,29,20,7,2,0.6206896551724138,0.6379310344827587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5918367346938775,0.7777777777777778,0.0,0.8448275862068966,0.15517241379310345,0.6671579394108884,0
