model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_stocks
LGBM,0.5063398894728495,0.5044089544089544,0.5741894542517595,0.456781045751634,0.0222636954379555,81
XGB,0.5038027949780643,0.5056497175141242,0.5695454020999192,0.44122841680591307,0.024062247433177576,81
LSTM,0.0,0.0,0.0,0.0,0.0,81
BILSTM,0.0,0.0,0.0,0.0,0.0,81
GRU,0.0,0.0,0.0,0.0,0.0,81
CNN_LSTM,0.0,0.0,0.0,0.0,0.0,81
CNN_GRU,0.0,0.0,0.0,0.0,0.0,81
TCN_GRU,0.0,0.0,0.0,0.0,0.0,81
TCN_TRANSFORMER,0.0,0.0,0.0,0.0,0.0,81
NBEATS,0.0,0.0,0.0,0.0,0.0,81
