symbol,status,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows,avg_lgbm_acc,avg_xgb_acc,avg_lstm_acc,avg_bilstm_acc,avg_gru_acc,avg_cnn_lstm_acc,avg_cnn_gru_acc,avg_tcn_gru_acc,avg_tcn_transformer_acc,avg_nbeats_acc,avg_dir_acc_up,avg_dir_acc_down,avg_pct_neutral,best_model,best_model_acc
ABB,ok,0.5124309392265194,0.6394279877425945,6.0,724,50.0,1316.0,0.4950458786336649,0.5203080422546071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5336414056753039,0.39045377280671395,0.0,xgb,0.5203080422546071
ALKEM,ok,0.5353535353535354,0.5929203539823009,6.0,594,50.0,1079.0,0.5169753086419753,0.5262345679012346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142378880600366,0.572183207922081,0.0,xgb,0.5262345679012346
AUBANK,ok,0.5208012326656395,0.48932676518883417,6.0,649,47.0,1177.0,0.5211864406779662,0.5056497175141242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345170012449424,0.5282688031178456,0.0,lgbm,0.5211864406779662
AUROPHARMA,ok,0.5172955974842768,0.46234676007005254,6.0,636,50.0,1154.0,0.5014992503748127,0.4812968515742129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190883977185347,0.521577469500729,0.0,lgbm,0.5014992503748127
AXISBANK,ok,0.4722222222222222,0.5788787483702738,6.0,612,47.0,1111.0,0.502949377949378,0.4983510296010296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728427319355221,0.47841510951297966,0.0,lgbm,0.502949377949378
BAJAJ-AUTO,ok,0.4784110535405872,0.5782122905027933,6.0,579,50.0,1051.0,0.4872566636717581,0.474752920035939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079499325301564,0.45459810704908743,0.0,lgbm,0.4872566636717581
BAJAJFINSV,ok,0.4674457429048414,0.5114854517611026,6.0,599,47.0,1088.0,0.47703461732513724,0.4908244009925968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4657565098659067,0.47552760196070887,0.0,xgb,0.4908244009925968
BAJFINANCE,ok,0.5520661157024793,0.5636070853462157,6.0,605,47.0,1098.0,0.4924242424242424,0.5348484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5348168950129838,0.5711787280701754,0.0,xgb,0.5348484848484848
BANDHANBNK,ok,0.4858420268256334,0.418212478920742,6.0,671,47.0,1220.0,0.49590163934426235,0.49590163934426235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43983387012240477,0.5258724340433486,0.0,lgbm,0.49590163934426235
BHARTIARTL,ok,0.5574614065180102,0.6426592797783933,6.0,583,50.0,1059.0,0.5157232704402516,0.5141509433962265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747388001429236,0.5398967477213871,0.0,lgbm,0.5157232704402516
BHEL,ok,0.5155038759689923,0.6113989637305699,6.0,774,50.0,1405.0,0.5363544149055087,0.5078922708829811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524271610305434,0.46327013698930214,0.0,lgbm,0.5363544149055087
BOSCHLTD,ok,0.5131578947368421,0.621160409556314,6.0,684,50.0,1241.0,0.5316130739033965,0.5396883427206007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5344401927576894,0.4744480934136106,0.0,xgb,0.5396883427206007
BPCL,ok,0.47527910685805425,0.5583892617449664,6.0,627,50.0,1139.0,0.5087719298245615,0.4839181286549708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4886561813652117,0.45749052497279447,0.0,lgbm,0.5087719298245615
BRITANNIA,ok,0.5377532228360957,0.6214177978883861,6.0,543,50.0,985.0,0.5192242149385007,0.554714491857349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455870979071867,0.521932646932647,0.0,xgb,0.554714491857349
CHOLAFIN,ok,0.4713855421686747,0.509090909090909,6.0,664,47.0,1206.0,0.48284032576133923,0.4758503439762754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45739522417153994,0.5173032407407407,0.0,lgbm,0.48284032576133923
CIPLA,ok,0.4947916666666667,0.5739385065885798,6.0,576,50.0,1046.0,0.48670375745847444,0.4962123044670214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48653761115061434,0.4587942092367742,0.0,xgb,0.4962123044670214
COALINDIA,ok,0.496742671009772,0.6053639846743295,6.0,614,50.0,1114.0,0.49537483912483915,0.5103496353496354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5050875103041214,0.4656968848145319,0.0,xgb,0.5103496353496354
COFORGE,ok,0.48942598187311176,0.5947242206235012,6.0,662,50.0,1202.0,0.5005522813831309,0.44122841680591307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518657384549554,0.40744011111327455,0.0,lgbm,0.5005522813831309
COLPAL,ok,0.4912891986062718,0.5852272727272727,6.0,574,50.0,1041.0,0.47707368627179947,0.4864612850461907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736718004645963,0.5414450478046969,0.0,xgb,0.4864612850461907
CUMMINSIND,ok,0.5418006430868167,0.6857772877618522,6.0,622,50.0,1130.0,0.5154479118149355,0.5551674170677431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5597347705215109,0.5085858585858586,0.0,xgb,0.5551674170677431
DIVISLAB,ok,0.49028400597907323,0.5422818791946309,6.0,669,50.0,1216.0,0.487704918032787,0.48899200650318386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49562392384153126,0.46725245653817077,0.0,xgb,0.48899200650318386
DRREDDY,ok,0.5052631578947369,0.6347150259067358,6.0,570,50.0,1035.0,0.503189569330346,0.5240695792880259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5239435453588719,0.35916005291005293,0.0,xgb,0.5240695792880259
EICHERMOT,ok,0.507177033492823,0.48925619834710743,6.0,627,50.0,1137.0,0.49122807017543857,0.5190058479532164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114691596128433,0.4891627701376129,0.0,xgb,0.5190058479532164
EXIDEIND,ok,0.5229508196721312,0.6030013642564802,6.0,610,50.0,1107.0,0.5238894738894739,0.48050631800631805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4927962538003107,0.5778472222222223,0.0,lgbm,0.5238894738894739
FEDERALBNK,ok,0.5064935064935064,0.5619596541786743,6.0,616,47.0,1119.0,0.5044642857142857,0.5104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328427888568363,0.46875901875901876,0.0,xgb,0.5104166666666666
GAIL,ok,0.5068306010928961,0.5902383654937571,6.0,732,50.0,1329.0,0.5268955972019601,0.503104776867542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008667030820618,0.5152799012581621,0.0,lgbm,0.5268955972019601
GODREJCP,ok,0.45990180032733224,0.4954128440366973,6.0,611,50.0,1110.0,0.48128485628485634,0.4468039468039468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4729709712760561,0.49690637214356376,0.0,lgbm,0.48128485628485634
GRASIM,ok,0.5131147540983606,0.6147859922178989,6.0,610,50.0,1108.0,0.5044089544089544,0.528435415935416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5032771982750469,0.5437843789393025,0.0,xgb,0.528435415935416
HAVELLS,ok,0.5093795093795094,0.5685279187817259,6.0,693,50.0,1260.0,0.5185185185185185,0.5105820105820106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5212796070676505,0.5133062259104925,0.0,lgbm,0.5185185185185185
HCLTECH,ok,0.5128644939965694,0.6172506738544474,6.0,583,50.0,1058.0,0.5220125786163522,0.5078616352201258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128583144220419,0.5171749887539362,0.0,lgbm,0.5220125786163522
HDFCBANK,ok,0.5313059033989267,0.601823708206687,6.0,559,47.0,1015.0,0.5016501650165016,0.4771727172717272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5369660912029713,0.553495713250108,0.0,lgbm,0.5016501650165016
HDFCLIFE,ok,0.45666666666666667,0.45484949832775917,6.0,600,47.0,1089.0,0.4748957464553795,0.482457603558521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4120754943868152,0.5043291590910638,0.0,xgb,0.482457603558521
HEROMOTOCO,ok,0.4852459016393443,0.5710382513661202,6.0,610,50.0,1107.0,0.49086960336960334,0.5027997152997153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48716371097278827,0.46168003282058584,0.0,xgb,0.5027997152997153
HINDALCO,ok,0.4923547400611621,0.5743589743589743,6.0,654,50.0,1187.0,0.5224564402031998,0.53216659545174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542408870555966,0.43436031512340095,0.0,xgb,0.53216659545174
HINDUNILVR,ok,0.5351351351351351,0.568561872909699,6.0,555,50.0,1008.0,0.5413541059988352,0.5149317284669643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937824001589704,0.5739482689210951,0.0,lgbm,0.5413541059988352
ICICIBANK,ok,0.49733570159857904,0.6251655629139072,6.0,563,47.0,1022.0,0.510518409504703,0.5155936534434535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169910037267207,0.49195332080200505,0.0,xgb,0.5155936534434535
ICICIGI,ok,0.4543918918918919,0.5228951255539144,6.0,592,47.0,1074.0,0.5122302988346602,0.4535450559593861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4405209769368889,0.4872272184043129,0.0,lgbm,0.5122302988346602
IDFCFIRSTB,ok,0.5239567233384853,0.56,6.0,647,47.0,1174.0,0.5198464435752571,0.4956782075426143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067287048447983,0.5787021976892467,0.0,lgbm,0.5198464435752571
INDUSINDBK,ok,0.4735202492211838,0.5407608695652174,6.0,642,47.0,1166.0,0.5135092438569937,0.5163095422446679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4834804388137761,0.4559055516230155,0.0,xgb,0.5163095422446679
INDUSTOWER,ok,0.5094637223974764,0.5039872408293461,6.0,634,50.0,1151.0,0.4971264367816092,0.5157296351824089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5662905632876639,0.48792581533415286,0.0,xgb,0.5157296351824089
INFY,ok,0.5,0.5395348837209303,6.0,594,50.0,1078.0,0.49537037037037046,0.5277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700271493387084,0.5281032879992488,0.0,xgb,0.5277777777777778
ITC,ok,0.5185840707964602,0.5584415584415584,6.0,565,50.0,1025.0,0.5314905524071715,0.507016137298833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49284214194195347,0.5840916008602668,0.0,lgbm,0.5314905524071715
JSWSTEEL,ok,0.5119617224880383,0.5391566265060241,6.0,627,50.0,1139.0,0.5321637426900585,0.4692982456140351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356069714091161,0.47782862612965626,0.0,lgbm,0.5321637426900585
KOTAKBANK,ok,0.5136054421768708,0.5201342281879194,6.0,588,47.0,1067.0,0.5262919858670168,0.4920959135824239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48989845133681637,0.5496346723928246,0.0,lgbm,0.5262919858670168
LT,ok,0.5466666666666666,0.6539440203562341,6.0,600,50.0,1090.0,0.5618293021962747,0.5176257992771753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5533088467016166,0.5120446006398578,0.0,lgbm,0.5618293021962747
LTIM,ok,0.4967637540453074,0.5674547983310153,6.0,618,50.0,1122.0,0.5273790116885133,0.4979303901346286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49237299832944625,0.4595510568336656,0.0,lgbm,0.5273790116885133
LUPIN,ok,0.5099667774086378,0.6270543615676359,6.0,602,50.0,1093.0,0.4993188768418126,0.5039199332777314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277325418159892,0.4574195906432748,0.0,xgb,0.5039199332777314
M&M,ok,0.4786885245901639,0.6034912718204489,6.0,610,50.0,1107.0,0.5045181545181545,0.5315451815451815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49899477218510907,0.3842919891370656,0.0,xgb,0.5315451815451815
MANAPPURAM,ok,0.5038167938931297,0.570673712021136,6.0,655,47.0,1189.0,0.5048786181139122,0.5132586367880486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128537558494455,0.4958958882515547,0.0,xgb,0.5132586367880486
MARICO,ok,0.5017301038062284,0.5369774919614148,6.0,578,50.0,1049.0,0.49290206648697216,0.4754117999401018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49283713965570036,0.5228396871945259,0.0,lgbm,0.49290206648697216
MARUTI,ok,0.4808362369337979,0.5630498533724341,6.0,574,50.0,1041.0,0.4769527380376437,0.4961524062939157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487797445492256,0.47815709582046323,0.0,xgb,0.4961524062939157
MOTHERSON,ok,0.49085365853658536,0.581453634085213,6.0,656,50.0,1192.0,0.456781045751634,0.4679505135387488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4885148753522248,0.5314153439153438,0.0,xgb,0.4679505135387488
MPHASIS,ok,0.4829192546583851,0.5577689243027888,6.0,644,50.0,1170.0,0.5304215558452846,0.5162731179680332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4861358291913847,0.4793489077312607,0.0,lgbm,0.5304215558452846
MUTHOOTFIN,ok,0.537842190016103,0.6408010012515645,6.0,621,47.0,1128.0,0.5000524449028175,0.558920577624001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571540953314003,0.4338031789114387,0.0,xgb,0.558920577624001
NAUKRI,ok,0.4708276797829037,0.5666666666666667,6.0,737,50.0,1337.0,0.4639303482587065,0.44776119402985076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4465126140290651,0.5492616580870752,0.0,lgbm,0.4639303482587065
NESTLEIND,ok,0.49454545454545457,0.5947521865889213,6.0,550,50.0,998.0,0.49833333333333335,0.49666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4936499887311246,0.5303266178266178,0.0,lgbm,0.49833333333333335
NMDC,ok,0.49768875192604006,0.5134328358208955,6.0,649,50.0,1177.0,0.5466101694915254,0.5070621468926554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120397272039247,0.48838918634230727,0.0,lgbm,0.5466101694915254
NTPC,ok,0.5272727272727272,0.6416040100250626,6.0,605,50.0,1097.0,0.5075757575757577,0.5136363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356199905704856,0.5597053531264057,0.0,xgb,0.5136363636363637
OFSS,ok,0.4925124792013311,0.48392554991539766,6.0,601,50.0,1091.0,0.49071448429246595,0.4968723936613845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45436224872315095,0.5298951667319663,0.0,xgb,0.4968723936613845
ONGC,ok,0.5126582278481012,0.5698324022346368,6.0,632,50.0,1148.0,0.49151783757244183,0.4940126428014063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120649839833745,0.5358643696942379,0.0,xgb,0.4940126428014063
PERSISTENT,ok,0.46841294298921415,0.5936395759717314,6.0,649,50.0,1178.0,0.4745762711864407,0.48022598870056493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47495552818828674,0.5392201036088982,0.0,xgb,0.48022598870056493
POLYCAB,ok,0.5050167224080268,0.645083932853717,6.0,598,50.0,1085.0,0.46100582790185235,0.5053807699832166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185971044690767,0.42358947095789196,0.0,xgb,0.5053807699832166
POWERGRID,ok,0.49498327759197325,0.628992628992629,6.0,598,50.0,1086.0,0.49039760500005153,0.4949857906279924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47985479706421413,0.5800667970022809,0.0,xgb,0.4949857906279924
RELIANCE,ok,0.4888507718696398,0.5162337662337663,6.0,583,50.0,1060.0,0.5204402515723271,0.4937106918238994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49613060382987917,0.5048183566786107,0.0,lgbm,0.5204402515723271
SAIL,ok,0.53003003003003,0.5832223701731025,6.0,666,50.0,1209.0,0.5199611615408933,0.497945174547261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49774141851540654,0.5582179550435128,0.0,lgbm,0.5199611615408933
SBILIFE,ok,0.48186528497409326,0.5508982035928144,6.0,579,47.0,1051.0,0.5124438454627134,0.5063192572626535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081585051995353,0.45184327099220717,0.0,lgbm,0.5124438454627134
