symbol,total_trades,winning_trades,losing_trades,win_rate,gross_pnl,total_costs,net_pnl,total_return_pct,avg_win,avg_loss,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown_pct,volatility_pct,direction_accuracy,trend_bias,initial_capital,final_capital
POWERINDIA,136,114,22,0.8382352941176471,335579.4828931063,56305.24596306881,279274.2369300375,27.927423693003668,2526.4043268261735,397.08437855210724,32.96873053305994,10.09384470349544,81.09365967441174,0.13617100667859788,3.938539219581695,0.9558823529411765,0.5,1000000,1279274.2369300367
GODREJPROP,250,169,81,0.676,219907.35214948648,100718.4586737415,119188.89347574473,11.918889347574394,1628.4975817724755,1926.2617017753525,1.7638981864883774,1.5700248563519903,1.8255291067636457,2.5518375845281867,3.4474174431796225,0.764,0.52,1000000,1119188.893475744
LUPIN,250,145,105,0.58,169447.12009056966,99305.90759548814,70141.21249508152,7.014121249508067,1249.646358789419,1057.6905669465166,1.6315755935128653,0.3452867713206155,0.515363139523818,1.1652835608245276,2.5069873472054853,0.72,0.572,1000000,1070141.2124950807
MPHASIS,250,148,102,0.592,163799.16469618346,97675.75558030684,66123.40911587645,6.612340911587607,1375.0616972807986,1346.9188439380557,1.481297533062157,0.17049894404862262,0.23449403392415724,1.6174152838916587,2.918087165107474,0.792,0.508,1000000,1066123.409115876
EMAMILTD,250,156,94,0.624,216275.52446878128,101945.83064096398,114329.69382781723,11.432969382781978,1617.6041680746505,1468.261238210938,1.8283766586903965,1.4038820468437667,2.2413739005710465,1.8882934370328743,3.5451276513421552,0.756,0.5,1000000,1114329.6938278198
