Metric,Value
Close MAPE - Average (%),1.27
Close MAPE - Median (%),1.18
Close MAPE - Min (%),0.8
Close MAPE - Max (%),2.69
High MAPE - Average (%),1.03
High MAPE - Median (%),0.96
Low MAPE - Average (%),1.02
Low MAPE - Median (%),0.98
Stocks with MAPE < 1%,19
Stocks with MAPE 1-1.5%,66
Stocks with MAPE > 1.5%,21
