symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
SBIN,0.5277777777777778,0.6299615877080665,6.0,612,47.0,1111.0
ICICIBANK,0.5808170515097691,0.6685393258426966,6.0,563,47.0,1022.0
HDFCBANK,0.5364485981308411,0.5738831615120275,6.0,535,47.0,972.0
AXISBANK,0.5127768313458262,0.6256544502617801,6.0,587,47.0,1066.0
INDUSINDBK,0.4788273615635179,0.6059113300492611,6.0,614,47.0,1115.0
KOTAKBANK,0.5283993115318416,0.42677824267782427,6.0,581,47.0,1054.0
BANDHANBNK,0.5271084337349398,0.49517684887459806,6.0,664,47.0,1206.0
FEDERALBNK,0.6022187004754358,0.6927784577723378,6.0,631,47.0,1145.0
IDFCFIRSTB,0.505443234836703,0.49523809523809526,6.0,643,47.0,1168.0
BAJFINANCE,0.5258064516129032,0.544891640866873,6.0,620,47.0,1125.0
BAJAJFINSV,0.5042301184433164,0.5659259259259259,6.0,591,47.0,1073.0
AUBANK,0.47678018575851394,0.4735202492211838,6.0,646,47.0,1173.0
SBILIFE,0.5144312393887945,0.598314606741573,6.0,589,47.0,1069.0
HDFCLIFE,0.5120689655172413,0.4629981024667932,6.0,580,47.0,1053.0
ICICIGI,0.4737762237762238,0.5333333333333333,6.0,572,47.0,1040.0
MUTHOOTFIN,0.5858747993579454,0.6899038461538461,6.0,623,47.0,1131.0
MANAPPURAM,0.5335365853658537,0.6096938775510204,6.0,656,47.0,1191.0
CHOLAFIN,0.5620214395099541,0.6266318537859008,6.0,653,47.0,1186.0
HCLTECH,0.5468483816013628,0.6921296296296297,6.0,587,50.0,1065.0
TCS,0.4956521739130435,0.4746376811594203,6.0,575,50.0,1044.0
INFY,0.46089850249584025,0.55,6.0,601,50.0,1091.0
TECHM,0.5307820299500832,0.6518518518518519,6.0,601,50.0,1092.0
WIPRO,0.5339966832504146,0.5683563748079877,6.0,603,50.0,1096.0
LTIM,0.5608974358974359,0.6828703703703703,6.0,624,50.0,1133.0
MPHASIS,0.4748427672955975,0.5616797900262467,6.0,636,50.0,1155.0
PERSISTENT,0.5611285266457681,0.6909492273730684,6.0,638,50.0,1159.0
COFORGE,0.5483383685800605,0.6767567567567567,6.0,662,50.0,1202.0
TATAELXSI,0.5264847512038523,0.5008460236886633,6.0,623,50.0,1131.0
OFSS,0.43492586490939045,0.5202797202797202,6.0,607,50.0,1103.0
