symbol,oos_accuracy,meta_val_auc,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
JSWSTEEL,0.5696,0.601,True,True,1,14,0.8568,68814.7151,0.7857,6.101,-0.912,24.527,17.945,0.012,71.274,0.6208,0.7857,2024-02-21 → 2026-04-16
BEL,0.5768,0.433,True,True,2,6,0.493,20423468.7368,0.8333,8.92,-1.673,26.666,15.273,0.0167,29.474,0.5325,0.8333,2024-04-16 → 2026-04-16
TATAPOWER,0.4953,0.476,False,False,3,8,0.3424,10676.9239,0.75,5.624,-1.495,11.286,13.568,0.0297,11.539,0.514,0.75,2023-12-11 → 2026-04-10
COFORGE,0.5483,0.536,True,True,4,12,0.4962,4728.1714,0.6667,7.236,-3.737,3.873,9.738,0.1117,4.443,0.6097,0.6667,2024-05-14 → 2026-04-16
BHARTIARTL,0.5026,0.53,True,True,5,7,0.2713,5657.5855,0.5714,8.333,-2.52,4.408,9.205,0.0663,4.089,0.5974,0.5714,2024-04-25 → 2026-04-10
ALKEM,0.46,0.523,False,False,6,5,0.1519,1246.5817,0.8,5.208,-5.704,3.652,8.441,0.057,2.664,0.5394,0.8,2024-03-27 → 2026-04-10
MOTHERSON,0.4368,0.568,False,False,7,5,0.1167,259.6625,0.8,3.746,-3.27,4.583,7.622,0.0327,3.569,0.5069,0.8,2024-04-24 → 2026-04-16
BOSCHLTD,0.5137,0.623,True,True,8,5,0.1198,299.1767,0.8,4.716,-6.737,2.8,7.333,0.0674,1.779,0.5447,0.8,2024-01-10 → 2026-04-10
AMBUJACEM,0.5369,0.282,True,True,9,8,0.1707,142.0564,0.625,6.338,-4.746,2.226,5.548,0.1015,1.682,0.4152,0.625,2024-04-22 → 2026-04-16
TVSMOTOR,0.5428,0.601,True,True,10,12,0.2983,239.2177,0.6667,6.256,-5.167,2.421,5.286,0.1328,2.246,0.6098,0.6667,2024-03-22 → 2026-04-16
TORNTPHARM,0.552,0.584,True,True,11,14,0.3634,263.9067,0.5,8.102,-2.9,2.794,4.471,0.0947,3.837,0.6187,0.5714,2024-04-25 → 2026-04-16
MARICO,0.5365,0.466,True,True,12,10,0.1476,31.0932,0.6,4.955,-3.614,2.057,4.467,0.1386,1.065,0.527,0.6,2024-06-03 → 2026-04-16
MARUTI,0.5208,0.611,True,True,13,6,0.094,42.584,0.5,6.673,-3.262,2.046,4.215,0.0919,1.024,0.5132,0.5,2024-03-18 → 2026-04-16
ETERNAL,0.5,0.58,True,True,14,5,0.0448,8.1181,0.2,17.606,-2.897,1.519,2.237,0.1116,0.402,0.5097,0.2,2025-02-03 → 2026-04-16
HINDALCO,0.5467,0.585,True,True,15,11,0.0873,5.8067,0.6364,6.389,-8.253,1.355,2.15,0.2479,0.352,0.6147,0.6364,2024-03-19 → 2026-04-10
ADANIENT,0.498,0.632,False,False,16,12,0.0698,3.1238,0.6667,3.518,-4.943,1.423,2.108,0.1227,0.569,0.4667,0.6667,2023-11-23 → 2026-04-16
TATASTEEL,0.5345,0.562,True,True,17,8,0.0476,3.3203,0.625,5.264,-6.696,1.31,1.923,0.1207,0.394,0.5792,0.625,2024-01-18 → 2026-04-16
NAUKRI,0.5306,0.615,True,True,18,13,0.0617,2.1915,0.6154,3.802,-4.529,1.343,1.769,0.17,0.363,0.5422,0.6923,2023-12-21 → 2026-04-16
CHOLAFIN,0.562,0.533,True,True,19,10,0.0544,2.7983,0.6,6.051,-7.045,1.288,1.674,0.1521,0.358,0.5405,0.7,2024-05-03 → 2026-04-16
AXISBANK,0.5128,0.537,True,False,20,6,0.0284,2.2452,0.5,6.217,-4.867,1.277,1.622,0.1059,0.268,0.6097,0.5,2024-03-13 → 2026-04-16
ADANIPORTS,0.5055,0.554,True,False,21,7,0.0262,1.5374,0.5714,5.519,-5.966,1.233,1.361,0.1581,0.166,0.482,0.5714,2024-04-02 → 2026-04-16
ICICIGI,0.4738,0.582,False,False,22,5,0.0054,0.315,0.4,4.236,-2.533,1.115,0.65,0.0479,0.114,0.5066,0.4,2024-06-06 → 2026-04-16
NMDC,0.5037,0.508,False,False,23,9,-0.033,-0.6088,0.5556,5.982,-7.625,0.981,-0.185,0.1471,-0.224,0.4916,0.5556,2024-04-29 → 2026-04-10
