symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
SBIN,0.5154975530179445,0.621656050955414,6.0,613,47.0,1113.0
ICICIBANK,0.549645390070922,0.6318840579710145,6.0,564,47.0,1024.0
HDFCBANK,0.527001862197393,0.5381818181818182,6.0,537,47.0,974.0
AXISBANK,0.5527210884353742,0.657997399219766,6.0,588,47.0,1068.0
INDUSINDBK,0.45616883116883117,0.5775535939470365,6.0,616,47.0,1117.0
KOTAKBANK,0.5180722891566265,0.43775100401606426,6.0,581,47.0,1056.0
IDFCFIRSTB,0.5046583850931677,0.4509466437177281,6.0,644,47.0,1170.0
BANDHANBNK,0.5548872180451128,0.5016835016835017,6.0,665,47.0,1208.0
FEDERALBNK,0.4889240506329114,0.5916561314791403,6.0,632,47.0,1147.0
BAJAJFINSV,0.5050675675675675,0.5722627737226277,6.0,592,47.0,1075.0
AUBANK,0.43585780525502316,0.49235048678720444,6.0,647,47.0,1175.0
BAJFINANCE,0.5338709677419354,0.505982905982906,6.0,620,47.0,1126.0
ICICIGI,0.5470383275261324,0.5975232198142415,6.0,574,47.0,1042.0
SBILIFE,0.5271186440677966,0.6130374479889042,6.0,590,47.0,1071.0
HDFCLIFE,0.47676419965576594,0.44727272727272727,6.0,581,47.0,1055.0
MUTHOOTFIN,0.5721153846153846,0.6779252110977081,6.0,624,47.0,1133.0
CHOLAFIN,0.5015290519877675,0.5820512820512821,6.0,654,47.0,1187.0
MANAPPURAM,0.5685975609756098,0.6618876941457587,6.0,656,47.0,1192.0
INFY,0.5083056478405316,0.5911602209944752,6.0,602,50.0,1093.0
HCLTECH,0.5459183673469388,0.6898954703832753,6.0,588,50.0,1067.0
TCS,0.4809027777777778,0.43263757115749524,6.0,576,50.0,1046.0
WIPRO,0.5338842975206611,0.6072423398328691,6.0,605,50.0,1098.0
TECHM,0.5299003322259136,0.6440251572327044,6.0,602,50.0,1093.0
LTIM,0.5312,0.6651428571428571,6.0,625,50.0,1135.0
MPHASIS,0.5015673981191222,0.5364431486880467,6.0,638,50.0,1157.0
PERSISTENT,0.5640625,0.6889632107023411,6.0,640,50.0,1161.0
COFORGE,0.5460030165912518,0.6738894907908992,6.0,663,50.0,1204.0
TATAELXSI,0.5240384615384616,0.36673773987206826,6.0,624,50.0,1133.0
OFSS,0.4614121510673235,0.49226006191950467,6.0,609,50.0,1105.0
NAUKRI,0.5400271370420624,0.628696604600219,6.0,737,50.0,1337.0
MARUTI,0.5555555555555556,0.5936507936507937,6.0,576,50.0,1046.0
BAJAJ-AUTO,0.4930555555555556,0.6403940886699507,6.0,576,50.0,1046.0
HEROMOTOCO,0.4837133550488599,0.543884892086331,6.0,614,50.0,1115.0
EICHERMOT,0.5368248772504092,0.5985815602836879,6.0,611,50.0,1110.0
M&M,0.5229793977812995,0.6462984723854289,6.0,631,50.0,1145.0
TVSMOTOR,0.5338709677419354,0.6928799149840595,6.0,620,50.0,1126.0
BOSCHLTD,0.497841726618705,0.6152149944873209,6.0,695,50.0,1263.0
MOTHERSON,0.4398826979472141,0.5452380952380952,6.0,682,50.0,1237.0
EXIDEIND,0.532695374800638,0.6024423337856174,6.0,627,50.0,1139.0
SUNPHARMA,0.521505376344086,0.6802395209580838,6.0,558,50.0,1013.0
DRREDDY,0.4423407917383821,0.5748031496062992,6.0,581,50.0,1054.0
CIPLA,0.5486111111111112,0.644808743169399,6.0,576,50.0,1046.0
DIVISLAB,0.4780058651026393,0.5615763546798029,6.0,682,50.0,1239.0
LUPIN,0.5884297520661157,0.6675567423230975,6.0,605,50.0,1098.0
TORNTPHARM,0.5369718309859155,0.6525759577278731,6.0,568,50.0,1031.0
ALKEM,0.46589018302828616,0.610909090909091,6.0,601,50.0,1091.0
