symbol,oos_accuracy,tradeable,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
GODREJCP,0.4632,False,6,0.0457,5.5239,0.5,2.611,-1.063,2.456,5.056,0.0204,2.233,0.4745,0.5,2024-04-30 → 2026-04-16
ASIANPAINT,0.5008,True,22,0.0539,0.8244,0.5909,1.129,-1.028,1.587,2.782,0.0549,0.982,0.479,0.6364,2024-01-09 → 2026-04-16
HDFCLIFE,0.4533,False,5,0.0084,0.5257,0.6,0.854,-0.85,1.507,2.465,0.0152,0.553,0.4679,0.6,2024-04-19 → 2026-04-16
MUTHOOTFIN,0.533,True,28,0.1046,1.4481,0.6071,2.056,-2.184,1.455,2.196,0.0834,1.254,0.5634,0.6071,2024-04-24 → 2026-04-16
KOTAKBANK,0.4983,False,40,0.0942,0.7633,0.525,1.382,-1.028,1.485,2.19,0.0447,2.11,0.4829,0.525,2024-03-04 → 2026-04-16
INDUSTOWER,0.5032,True,5,0.0158,1.2047,0.4,3.096,-1.496,1.379,2.172,0.0228,0.695,0.5318,0.4,2024-04-15 → 2026-04-08
BOSCHLTD,0.5453,True,85,0.2357,0.8728,0.6353,1.451,-1.796,1.407,2.049,0.1194,1.974,0.5442,0.6471,2024-01-05 → 2026-04-16
LTIM,0.5049,True,48,0.1375,0.9664,0.5208,1.857,-1.411,1.43,1.992,0.0882,1.559,0.5223,0.5208,2024-03-06 → 2026-04-16
TATAELXSI,0.5103,True,18,0.0827,2.0412,0.6111,3.043,-3.328,1.437,1.686,0.1658,0.499,0.449,0.6111,2024-04-16 → 2026-04-16
BAJAJFINSV,0.4825,False,16,0.0273,0.5276,0.5625,1.375,-1.353,1.307,1.521,0.0473,0.576,0.5076,0.625,2024-04-22 → 2026-04-16
BEL,0.4869,False,39,0.0888,0.7325,0.5385,2.101,-1.915,1.28,1.462,0.1634,0.543,0.4986,0.5385,2024-05-07 → 2026-04-16
MPHASIS,0.4627,False,40,0.0594,0.438,0.5,2.116,-1.759,1.203,0.923,0.1532,0.387,0.5071,0.525,2024-04-16 → 2026-04-16
ADANIPORTS,0.5186,True,20,0.0222,0.319,0.5,2.089,-1.802,1.16,0.714,0.0718,0.309,0.4852,0.5,2024-05-09 → 2026-04-16
GAIL,0.5109,True,41,0.0443,0.3055,0.561,2.235,-2.454,1.164,0.663,0.178,0.249,0.5038,0.561,2024-01-12 → 2026-04-16
AUBANK,0.5131,True,20,0.0183,0.2562,0.6,1.712,-2.261,1.136,0.604,0.1268,0.144,0.5056,0.6,2024-05-07 → 2026-04-16
TECHM,0.5131,True,25,0.0219,0.2445,0.52,2.169,-2.098,1.12,0.581,0.0839,0.261,0.503,0.52,2024-03-21 → 2026-04-16
ULTRACEMCO,0.5306,True,14,0.0077,0.1475,0.6429,0.78,-1.235,1.137,0.524,0.0245,0.313,0.5047,0.6429,2024-04-26 → 2026-04-16
ICICIBANK,0.4902,False,27,0.0163,0.163,0.4815,1.424,-1.18,1.121,0.463,0.0635,0.257,0.5277,0.5185,2024-02-19 → 2026-04-16
LT,0.535,True,78,0.0484,0.165,0.5769,1.599,-1.973,1.105,0.429,0.1402,0.345,0.5291,0.5769,2024-03-21 → 2026-04-16
JSWSTEEL,0.5136,True,16,0.0081,0.1363,0.5625,1.886,-2.246,1.08,0.361,0.0787,0.104,0.5205,0.5625,2024-04-05 → 2026-04-16
DLF,0.4722,False,30,0.0111,0.097,0.6333,1.848,-2.979,1.072,0.296,0.1594,0.07,0.5121,0.6667,2023-11-30 → 2026-04-16
OFSS,0.4908,False,25,0.0064,0.0664,0.56,1.491,-1.79,1.06,0.171,0.1183,0.054,0.4665,0.56,2024-06-25 → 2026-04-16
PIDILITIND,0.5037,True,14,0.003,0.0554,0.5714,1.101,-1.393,1.054,0.08,0.0514,0.058,0.5246,0.5714,2024-01-12 → 2026-04-16
POLYCAB,0.5033,True,46,-0.0104,-0.0556,0.5435,1.515,-1.804,1.0,-0.185,0.0699,-0.149,0.5215,0.5435,2024-06-21 → 2026-04-16
TITAN,0.5067,True,8,-0.004,-0.1187,0.5,2.137,-2.165,0.987,-0.227,0.0677,-0.059,0.5014,0.5,2024-01-09 → 2026-04-16
BANDHANBNK,0.4978,False,10,-0.016,-0.3346,0.6,2.471,-3.887,0.953,-0.369,0.125,-0.128,0.4645,0.6,2024-05-09 → 2026-04-16
POWERGRID,0.495,False,47,-0.0227,-0.1159,0.5957,1.218,-1.873,0.959,-0.477,0.1556,-0.146,0.5153,0.5957,2024-03-22 → 2026-04-16
NAUKRI,0.483,False,95,-0.0637,-0.1602,0.4842,1.822,-1.798,0.952,-0.504,0.2407,-0.265,0.4776,0.4947,2024-02-09 → 2026-04-16
NMDC,0.5039,True,51,-0.0597,-0.2622,0.4902,2.226,-2.295,0.933,-0.577,0.1685,-0.354,0.5056,0.4902,2024-05-09 → 2026-04-16
BHEL,0.5245,True,77,-0.1739,-0.4649,0.5325,2.408,-3.092,0.887,-0.742,0.3305,-0.526,0.5498,0.5325,2023-12-28 → 2026-04-16
HAVELLS,0.5152,True,9,-0.0131,-0.3085,0.3333,3.569,-1.946,0.917,-0.748,0.0958,-0.137,0.5212,0.3333,2023-12-13 → 2026-04-16
EXIDEIND,0.5066,True,39,-0.0538,-0.3006,0.5128,1.938,-2.257,0.904,-0.77,0.2296,-0.234,0.4835,0.5128,2024-05-08 → 2026-04-16
BAJFINANCE,0.5504,True,35,-0.0465,-0.29,0.5143,1.452,-1.774,0.867,-1.077,0.1584,-0.293,0.5061,0.5143,2024-05-08 → 2026-04-16
TATASTEEL,0.4903,False,27,-0.036,-0.2895,0.5926,1.158,-1.974,0.853,-1.212,0.1448,-0.248,0.533,0.5926,2023-12-12 → 2026-04-16
