symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
HDFCBANK,0.516994633273703,0.5896656534954408,6.0,559,47.0,1015.0
ICICIBANK,0.49023090586145646,0.6188579017264276,6.0,563,47.0,1022.0
SBIN,0.5625,0.6798516687268232,6.0,592,47.0,1076.0
AXISBANK,0.48856209150326796,0.5843293492695883,6.0,612,47.0,1111.0
INDUSINDBK,0.4750778816199377,0.543978349120433,6.0,642,47.0,1166.0
KOTAKBANK,0.49829931972789115,0.499151103565365,6.0,588,47.0,1067.0
IDFCFIRSTB,0.5224111282843895,0.5841184387617766,6.0,647,47.0,1174.0
BANDHANBNK,0.4977645305514158,0.4355108877721943,6.0,671,47.0,1220.0
FEDERALBNK,0.49837662337662336,0.5541125541125541,6.0,616,47.0,1119.0
BAJAJFINSV,0.48247078464106846,0.5303030303030303,6.0,599,47.0,1088.0
AUBANK,0.5130970724191063,0.46075085324232085,6.0,649,47.0,1177.0
BAJFINANCE,0.5504132231404959,0.5570032573289903,6.0,605,47.0,1098.0
SBILIFE,0.47150259067357514,0.5321100917431193,6.0,579,47.0,1051.0
HDFCLIFE,0.4533333333333333,0.46579804560260585,6.0,600,47.0,1089.0
ICICIGI,0.44763513513513514,0.5240174672489083,6.0,592,47.0,1074.0
MUTHOOTFIN,0.533011272141707,0.6329113924050633,6.0,621,47.0,1128.0
CHOLAFIN,0.4864457831325301,0.5135520684736091,6.0,664,47.0,1206.0
SHRIRAMFIN,0.4714946070878274,0.5420560747663551,6.0,649,47.0,1180.0
TCS,0.4918918918918919,0.5753012048192772,6.0,555,50.0,1008.0
MANAPPURAM,0.5129770992366413,0.5873221216041398,6.0,655,47.0,1189.0
INFY,0.5117845117845118,0.5292207792207793,6.0,594,50.0,1078.0
HCLTECH,0.5025728987993139,0.6102150537634409,6.0,583,50.0,1058.0
WIPRO,0.5085034013605442,0.505982905982906,6.0,588,50.0,1068.0
TECHM,0.5130718954248366,0.5767045454545454,6.0,612,50.0,1112.0
MPHASIS,0.46273291925465837,0.5311653116531165,6.0,644,50.0,1170.0
LTIM,0.5048543689320388,0.5653409090909091,6.0,618,50.0,1122.0
PERSISTENT,0.46841294298921415,0.5878136200716846,6.0,649,50.0,1178.0
TATAELXSI,0.5103338632750397,0.3446808510638298,6.0,629,50.0,1141.0
COFORGE,0.47583081570996977,0.5804111245465539,6.0,662,50.0,1202.0
OFSS,0.4908485856905158,0.48135593220338985,6.0,601,50.0,1091.0
MARUTI,0.4843205574912892,0.5747126436781609,6.0,574,50.0,1041.0
NAUKRI,0.4830393487109905,0.5752508361204013,6.0,737,50.0,1337.0
BAJAJ-AUTO,0.48013816925734026,0.5825242718446602,6.0,579,50.0,1051.0
