group,mean_norm_importance
Statistical,0.028682384741797358
Price / Return,0.023639441111846123
Global Macro,0.02321466428921472
Regime,0.020746254145396367
Volume,0.020411173795074483
Technical,0.02036733453933561
Other,0.016138990044483017
Indian Calendar,0.01318422457280516
