date,daily_return,equity
2023-11-30,0.0,1.0
2023-12-01,0.0,1.0
2023-12-04,0.022605555971545177,1.0226055559715452
2023-12-05,0.05638302623930421,1.080263151866347
2023-12-08,-0.015453864692355731,1.0635689112852666
2023-12-11,0.003974503583180559,1.0677960697341295
2023-12-12,0.00021593810302985203,1.0680266475918505
2023-12-13,0.0020296613075376038,1.0701943799538869
2023-12-14,0.0022028590847290954,1.0725518673661945
2023-12-15,0.011258725759433949,1.084627434703639
2023-12-18,-0.0012478402921243248,1.0832739928886725
2023-12-19,-0.0044006858112281,1.0785068443984949
2023-12-21,-0.01603628130724255,1.061211605249934
2023-12-22,-0.00014274784144994437,1.061060119583963
2023-12-27,0.004154278848046052,1.065468059195256
2023-12-28,-0.003921465162581332,1.0612898633192787
2023-12-29,0.0046324289506242495,1.066206213207123
2024-01-01,0.026126987832502134,1.0940629699665236
2024-01-03,0.0016812012326576555,1.0959023099802365
2024-01-04,0.0015339774789716598,1.0975833994428994
2024-01-05,0.0009227539714116902,1.0985961988836908
2024-01-08,-0.009783976949553241,1.0878475589969459
2024-01-09,0.006473677980556461,1.0948899337858267
2024-01-10,0.007070710093352176,1.102631583091756
2024-01-11,-0.001979165343506506,1.100449292875845
2024-01-12,0.00836425801331529,1.1096537346920288
2024-01-15,0.0041792753240076,1.11429128316362
2024-01-17,-0.012779838847919703,1.1000508201351473
2024-01-18,-0.009180227715723688,1.0899521031074382
2024-01-19,0.009309953679217275,1.100099506699934
2024-01-25,-0.0025208572188438008,1.097326312917023
2024-01-30,0.02275135304516936,1.122291971267952
2024-01-31,0.005488859079318509,1.1284520737440924
2024-02-01,0.0,1.1284520737440924
2024-02-02,0.001639054256413382,1.130301667918721
2024-02-05,0.013993619416695063,1.146118679285631
2024-02-06,0.010316063750190082,1.157942112646425
2024-02-07,-0.004773718333068573,1.1524144231546527
2024-02-08,0.0013970307910285602,1.154024381587825
2024-02-09,-0.012242597813561998,1.1398961252170008
2024-02-12,-0.00698184502027388,1.131937547131525
2024-02-13,0.0039757003119786916,1.1364377915907962
2024-02-14,0.011544887167384962,1.149557837667464
2024-02-15,0.015130035051727756,1.1669506880453613
2024-02-16,-0.0029850821658231976,1.163467244358082
2024-02-19,0.0,1.163467244358082
2024-02-21,0.0,1.163467244358082
2024-02-22,0.0,1.163467244358082
2024-02-23,-0.004928821419588947,1.1577327220830997
2024-02-26,0.0,1.1577327220830997
2024-02-27,0.0,1.1577327220830997
2024-02-28,0.0,1.1577327220830997
2024-02-29,0.004223193210162939,1.1626220510541845
2024-03-01,0.0,1.1626220510541845
2024-03-04,0.01572932063236654,1.1809093060694753
2024-03-05,0.012508675659885431,1.1956809175628387
2024-03-06,-0.008872055117489674,1.1850727705592905
2024-03-07,0.003686467537488913,1.1894415028575192
2024-03-12,-0.020191778490210255,1.1654245635047573
2024-03-13,-0.020752292276994638,1.1412393323361176
2024-03-14,-0.013185773543634963,1.1261912089408446
2024-03-15,-0.0020370127955060546,1.1238971430380456
2024-03-18,0.024367576378663637,1.151283792512787
2024-03-19,-0.01257833290570285,1.136802561701621
2024-03-20,-0.0016055205950652094,1.1349774017762861
2024-03-21,0.015287675464263833,1.1523285679539155
2024-03-22,0.004853396940292947,1.157921275899835
2024-03-27,0.005547442396614699,1.1643447774777038
2024-03-28,0.018410695289642936,1.185781174387933
2024-04-02,0.004142509912463603,1.1906932846568479
2024-04-03,0.026125932470984752,1.2218012570054477
2024-04-04,-0.0059603120636256834,1.2145189402339651
2024-04-05,0.0075960864902285445,1.2237445311480029
2024-04-09,0.005579677779786296,1.2305726313165843
2024-04-10,0.0042949949269005154,1.2358579345252716
2024-04-15,0.003802981797364529,1.2405578797544
2024-04-16,-0.005061575766205029,1.2342787020536603
2024-04-19,0.004846049334258437,1.2402600775360366
2024-04-22,-0.009217771491286459,1.2288276435515442
2024-04-23,0.01326030864500512,1.245122277376552
2024-04-24,-0.004556667172067448,1.2394486695700204
2024-04-25,0.025553924296319936,1.2711214470413872
2024-04-26,-0.008365430326853402,1.2604879691391933
2024-04-29,0.012295731535101478,1.2759865908109542
2024-04-30,0.003659876477213294,1.280656544119903
2024-05-03,0.0008699398446617712,1.2817706382749599
2024-05-06,-0.007244521143215979,1.2724848237852235
2024-05-07,-0.020819952985889977,1.2459917495787567
2024-05-08,0.008618149585286394,1.2567298928586592
2024-05-09,-0.00903220518805792,1.2453788506003938
2024-05-10,-0.006452568454864563,1.2373429583146542
2024-05-13,0.0046649781001607375,1.24311513611758
2024-05-14,0.016757710167822015,1.2639468992738712
2024-05-15,0.0030371495543577267,1.2677856950357327
2024-05-16,0.015167088673958995,1.2870143130919163
2024-05-17,0.007909731676372139,1.2971942509721237
2024-05-22,0.011720281966097553,1.3123977333583177
2024-05-23,0.012432835485591449,1.3287145584688247
2024-05-24,0.010770352645730303,1.3430252828290499
2024-05-27,-5.849049350037383e-05,1.3429467286174737
2024-05-29,-0.00432514873706787,1.3371382842702444
2024-05-30,-9.178580372896464e-06,1.3371260112390326
2024-05-31,-0.005770558259874195,1.3294100476903847
2024-06-03,0.025154527632371915,1.3628507294697654
2024-06-04,-0.026243766390856738,1.327084393299952
2024-06-05,0.03556739920142325,1.37428533369043
2024-06-06,0.024336460355458073,1.4077305742308746
2024-06-07,0.015613249587917618,1.4297098230388836
2024-06-10,-0.007772637503173437,1.4185972068496762
2024-06-11,0.01904575587877625,1.4456154629416489
2024-06-12,0.0026040602943115942,1.449379932769538
2024-06-13,0.010914877544961676,1.4651997372518424
2024-06-14,0.003032629908430969,1.4696431457968575
2024-06-19,-0.03180803079040936,1.422896691364437
2024-06-21,-0.0038306215340724492,1.417446112657736
2024-06-24,-0.0026864557019170934,1.4136382064662265
2024-06-25,-0.006594807890304459,1.4043155340681872
2024-06-26,-0.005967586072368782,1.3959351602458707
2024-06-27,0.0,1.3959351602458707
2024-06-28,0.007889270668280232,1.4069480705604196
2024-07-01,0.006063733674841809,1.4154794289546306
2024-07-02,-0.012938984472627646,1.3971645626020628
2024-07-03,-0.0032822242255365524,1.392578755227629
2024-07-04,0.005495706356748806,1.400231959145007
2024-07-08,0.02178322085412976,1.4307335211580734
2024-07-09,0.0009322304468356579,1.4320672945078052
2024-07-10,0.00804344956069351,1.4435860555586977
2024-07-11,-0.0012158622544657938,1.4418308537626707
2024-07-12,-0.0020921189048737814,1.4388143721758835
2024-07-15,0.014994314756417937,1.4603884077483467
2024-07-16,0.0037082999404369024,1.4658039659938147
2024-07-19,-0.004951157849334716,1.4585465391819985
2024-07-22,0.004311875836091605,1.4648356107601124
2024-07-23,0.0075825390908749,1.4759427840404065
2024-07-24,-0.0013289735327508547,1.473981295144562
2024-07-25,-0.005305135773280659,1.4661616242465443
2024-07-26,0.027930773799908826,1.5071126529274814
2024-07-29,0.005287141914636621,1.5150809714048534
