symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows,status
ABB,0.4801641586867305,0.6066252587991718,6.0,731,50.0,1328.0,ok
HAVELLS,0.4871060171919771,0.5665859564164649,6.0,698,50.0,1267.0,ok
POLYCAB,0.5287162162162162,0.6706021251475797,6.0,592,50.0,1075.0,ok
CUMMINSIND,0.5438871473354232,0.6971904266389178,6.0,638,50.0,1160.0,ok
INDUSTOWER,0.4603421461897356,0.4766214177978884,6.0,643,50.0,1168.0,ok
BHARTIARTL,0.5128205128205128,0.6658851113716295,6.0,585,50.0,1062.0,ok
AMBUJACEM,0.5103668261562998,0.5119236883942766,6.0,627,50.0,1137.0,ok
GRASIM,0.5322314049586777,0.652760736196319,6.0,605,50.0,1097.0,ok
ULTRACEMCO,0.5113043478260869,0.6278145695364239,6.0,575,50.0,1044.0,ok
SHREECEM,0.5126903553299492,0.5675675675675675,6.0,591,50.0,1073.0,ok
TITAN,0.5273492286115007,0.6606243705941591,6.0,713,50.0,1296.0,ok
ASIANPAINT,0.4903417533432392,0.5050505050505051,6.0,673,50.0,1223.0,ok
BERGEPAINT,0.4590643274853801,0.5595238095238095,6.0,684,50.0,1241.0,ok
PIDILITIND,0.4992295839753466,0.576271186440678,6.0,649,50.0,1178.0,ok
VOLTAS,0.4923291492329149,0.5392405063291139,6.0,717,50.0,1302.0,ok
PAGEIND,0.5140845070422535,0.5344129554655871,6.0,710,50.0,1289.0,ok
DLF,0.4941935483870968,0.6141732283464567,6.0,775,50.0,1408.0,ok
DMART,0.4972299168975069,0.5445420326223338,6.0,722,50.0,1311.0,ok
GODREJPROP,0.4679738562091503,0.5628356605800214,6.0,765,50.0,1389.0,ok
ADANIENT,0.5265306122448979,0.4368932038834951,6.0,735,50.0,1335.0,ok
ADANIPORTS,0.4826498422712933,0.4743589743589743,6.0,634,50.0,1151.0,ok
HAL,0.4592933947772657,0.5440414507772021,6.0,651,50.0,1182.0,ok
BEL,0.5234375,0.6329723225030084,6.0,640,50.0,1162.0,ok
IRFC,0.5857142857142857,0.3785714285714285,6.0,420,50.0,763.0,ok
ETERNAL,0.4271356783919598,0.5581395348837209,6.0,398,50.0,723.0,ok
BAJAJHFL,,,0.0,0,0.0,0.0,skipped:too_few_rows_after_features
AVERAGE,0.5144627817066884,0.5894006797851832,6.0,62212,49.39393939393939,1141.010101010101,ok
