symbol,oos_accuracy,meta_val_auc,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
CHOLAFIN,0.5542,0.539,True,True,1,7,0.254,3459.1593,0.8571,4.368,-2.937,8.923,18.919,0.0294,8.648,0.5418,0.8571,2024-05-07 → 2026-04-24
JSWSTEEL,0.5477,0.586,True,True,2,11,0.2793,281.4814,0.8182,2.949,-0.659,20.138,14.894,0.0066,42.055,0.6311,0.8182,2024-02-21 → 2026-04-22
BEL,0.5234,0.44,True,True,3,7,0.2301,1727.7884,0.7143,6.037,-4.068,3.71,9.026,0.0548,4.199,0.5605,0.7143,2024-04-26 → 2026-04-24
PERSISTENT,0.5422,0.559,True,True,4,10,0.3644,2515.6481,0.5,8.655,-1.988,4.353,8.559,0.0742,4.914,0.5811,0.5,2024-05-15 → 2026-04-24
LUPIN,0.514,0.422,True,True,5,7,0.1692,277.2722,0.5714,5.839,-2.247,3.465,7.635,0.0485,3.486,0.5687,0.7143,2024-05-03 → 2026-04-24
AUROPHARMA,0.5259,0.446,True,True,6,5,0.0946,93.9648,0.4,7.654,-1.873,2.725,6.247,0.0547,1.73,0.4684,0.6,2024-05-31 → 2026-04-24
ADANIENT,0.5265,0.649,True,True,7,8,0.181,187.9006,0.5,6.333,-1.806,3.506,6.064,0.0711,2.546,0.4655,0.75,2023-11-30 → 2026-04-24
TORNTPHARM,0.5528,0.531,True,True,8,7,0.0872,19.2763,0.5714,3.797,-2.104,2.407,5.331,0.0561,1.554,0.6067,0.5714,2024-04-30 → 2026-04-24
BHARTIARTL,0.5128,0.565,True,True,9,8,0.107,23.613,0.625,4.087,-3.133,2.174,4.75,0.079,1.354,0.6181,0.625,2024-04-29 → 2026-04-24
VEDL,0.5354,0.382,True,True,10,6,0.1283,158.3007,0.5,8.908,-4.166,2.138,4.464,0.1207,1.063,0.6307,0.6667,2024-05-10 → 2026-04-27
COFORGE,0.5248,0.544,True,True,11,10,0.2054,109.7237,0.7,6.946,-8.844,1.833,4.336,0.1297,1.583,0.5977,0.7,2024-05-17 → 2026-04-27
