symbol,strategy,oos_acc_dir,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
SBIN,primary_only_0.58,0.5668662674650699,501,67,0.09991159196371102,0.5970149253731343,1.1811519241007566,0.13723907931253387,0.5970149253731343
SBIN,meta_label_thr0.55,0.5668662674650699,501,119,0.01850847814508616,0.5462184873949579,0.0677378380768815,0.16723051471028494,0.5462184873949579
SBIN,meta_label_thr0.60,0.5668662674650699,501,51,-0.06005500718807644,0.5490196078431373,-0.8761664718099831,0.12121240385331485,0.5490196078431373
SBIN,meta_label_thr0.65,0.5668662674650699,501,21,-0.03570695487759579,0.5238095238095238,-1.6297924449025372,0.10010426450608456,0.5238095238095238
SBIN,primary_0.58_AND_meta_0.60,0.5668662674650699,501,29,0.09161130291456177,0.5862068965517241,2.3639385373510775,0.0747424438584629,0.5862068965517241
HDFCBANK,primary_only_0.58,0.5977272727272728,440,55,-0.09032393691174267,0.5454545454545454,-0.984996348560322,0.17310508086542892,0.5454545454545454
HDFCBANK,meta_label_thr0.55,0.5977272727272728,440,162,-0.11593739300324446,0.5555555555555556,-0.6060109919644822,0.3223016036484487,0.5555555555555556
HDFCBANK,meta_label_thr0.60,0.5977272727272728,440,86,-0.053161107009759845,0.5697674418604651,-0.42883833153803075,0.24586722424348437,0.5697674418604651
HDFCBANK,meta_label_thr0.65,0.5977272727272728,440,33,-0.12051796813970228,0.5151515151515151,-2.168682162718324,0.2136769140518372,0.5151515151515151
HDFCBANK,primary_0.58_AND_meta_0.60,0.5977272727272728,440,42,0.003146608871697376,0.5952380952380952,0.1208181034339832,0.1546548604641655,0.5952380952380952
ICICIBANK,primary_only_0.58,0.5736263736263736,455,169,-0.3466654775748267,0.47928994082840237,-2.5386636108951453,0.4459942242850494,0.47928994082840237
ICICIBANK,meta_label_thr0.55,0.5736263736263736,455,183,-0.4004891994760821,0.45901639344262296,-2.9101527244299334,0.48528881354672,0.45901639344262296
ICICIBANK,meta_label_thr0.60,0.5736263736263736,455,139,-0.4049726905021137,0.45323741007194246,-3.933828880986083,0.46329871516912235,0.45323741007194246
ICICIBANK,meta_label_thr0.65,0.5736263736263736,455,94,-0.3408176931108935,0.4148936170212766,-4.564135846420074,0.41242648075786686,0.4148936170212766
ICICIBANK,primary_0.58_AND_meta_0.60,0.5736263736263736,455,109,-0.3425013858603073,0.46788990825688076,-3.8403886764370174,0.4085887400882571,0.46788990825688076
AXISBANK,primary_only_0.58,0.5123456790123457,486,69,-0.10893257166697812,0.5217391304347826,-1.2625950980012286,0.24645978778076302,0.5217391304347826
AXISBANK,meta_label_thr0.55,0.5123456790123457,486,123,-0.1810704771969952,0.5203252032520326,-1.2804285224355034,0.2629833731883391,0.5203252032520326
AXISBANK,meta_label_thr0.60,0.5123456790123457,486,63,-0.0325864079994842,0.5396825396825397,-0.36895144533460905,0.16149217288712306,0.5396825396825397
AXISBANK,meta_label_thr0.65,0.5123456790123457,486,34,-0.043525598654217235,0.47058823529411764,-0.9763700915391642,0.11383222941027013,0.47058823529411764
AXISBANK,primary_0.58_AND_meta_0.60,0.5123456790123457,486,35,0.052772928464728475,0.6,1.0499604332109704,0.14848018623949474,0.6
KOTAKBANK,primary_only_0.58,0.47956989247311826,465,34,0.21716296813969005,0.6470588235294118,3.447592500411741,0.12213043568856737,0.6470588235294118
KOTAKBANK,meta_label_thr0.55,0.47956989247311826,465,116,-0.33727287263064687,0.45689655172413796,-2.349151935691165,0.45708131483810455,0.45689655172413796
KOTAKBANK,meta_label_thr0.60,0.47956989247311826,465,101,-0.3775973510483517,0.45544554455445546,-3.2520180813772863,0.5026278496193914,0.45544554455445546
KOTAKBANK,meta_label_thr0.65,0.47956989247311826,465,92,-0.3828140121031658,0.43478260869565216,-3.571850073388314,0.48260886001666187,0.43478260869565216
KOTAKBANK,primary_0.58_AND_meta_0.60,0.47956989247311826,465,29,0.07118487971775767,0.6206896551724138,1.6157923112489887,0.12213043568856743,0.6206896551724138
TCS,primary_only_0.58,0.43792325056433407,443,219,-0.7210942148830652,0.3835616438356164,-4.832251129174542,0.7323674262967839,0.3835616438356164
TCS,meta_label_thr0.55,0.43792325056433407,443,195,-0.6685403946515209,0.40512820512820513,-4.51939266048391,0.6867397290390239,0.40512820512820513
TCS,meta_label_thr0.60,0.43792325056433407,443,117,-0.41688867154514875,0.4188034188034188,-3.723329862257392,0.4557845382782067,0.4188034188034188
TCS,meta_label_thr0.65,0.43792325056433407,443,79,-0.2865303844753805,0.4050632911392405,-3.3726167959580016,0.3383940227961358,0.4050632911392405
TCS,primary_0.58_AND_meta_0.60,0.43792325056433407,443,78,-0.2547678180043186,0.3974358974358974,-2.774758583381542,0.37784198408539654,0.3974358974358974
INFY,primary_only_0.58,0.5389473684210526,475,235,0.019913331812632773,0.5191489361702127,0.028730133023496512,0.22600009895634735,0.5191489361702127
INFY,meta_label_thr0.55,0.5389473684210526,475,234,-0.15609993516845455,0.5128205128205128,-0.5470080679643401,0.28158362977553414,0.5128205128205128
INFY,meta_label_thr0.60,0.5389473684210526,475,159,0.04516007309920611,0.5471698113207547,0.17816126617227154,0.16325692153212484,0.5471698113207547
INFY,meta_label_thr0.65,0.5389473684210526,475,115,0.06788592037796448,0.5217391304347826,0.4127924278340507,0.1592356820000736,0.5217391304347826
INFY,primary_0.58_AND_meta_0.60,0.5389473684210526,475,133,0.21127619064315728,0.5639097744360902,1.1025329517724285,0.1477674762159434,0.5639097744360902
HCLTECH,primary_only_0.58,0.5280665280665281,481,256,-0.14339437880411476,0.546875,-0.48522860769339,0.36237473820438726,0.546875
HCLTECH,meta_label_thr0.55,0.5280665280665281,481,251,-0.12413919230547366,0.5657370517928287,-0.4651317442481252,0.3468357834148593,0.5657370517928287
HCLTECH,meta_label_thr0.60,0.5280665280665281,481,95,-0.016275326147817903,0.5789473684210527,-0.22327851350310712,0.11858339043967407,0.5789473684210527
HCLTECH,meta_label_thr0.65,0.5280665280665281,481,62,-0.06731360350470428,0.5483870967741935,-1.0460848211586824,0.11858339043967407,0.5483870967741935
HCLTECH,primary_0.58_AND_meta_0.60,0.5280665280665281,481,73,0.09678507143804582,0.6301369863013698,1.0459714455635714,0.10921511855986862,0.6301369863013698
WIPRO,primary_only_0.58,0.5020491803278688,488,22,-0.09528115251779323,0.45454545454545453,-3.9354649401949326,0.11155120650233499,0.45454545454545453
WIPRO,meta_label_thr0.55,0.5020491803278688,488,75,-0.015158493014760799,0.49333333333333335,-0.15594379435932854,0.1772975328135098,0.49333333333333335
WIPRO,meta_label_thr0.60,0.5020491803278688,488,32,0.07646669588107358,0.5,1.8004312374223739,0.06918254082808974,0.5
WIPRO,meta_label_thr0.65,0.5020491803278688,488,6,-0.02611795248549198,0.3333333333333333,-5.57451459660204,0.04686926146728021,0.3333333333333333
WIPRO,primary_0.58_AND_meta_0.60,0.5020491803278688,488,0,0.0,0.0,0.0,0.0,0.0
TECHM,primary_only_0.58,0.5432595573440644,497,265,0.0058589756618190325,0.5320754716981132,-0.02533500271426212,0.42100492854820104,0.5320754716981132
TECHM,meta_label_thr0.55,0.5432595573440644,497,190,0.07084138238310045,0.5368421052631579,0.2534773502322028,0.4222053736367464,0.5368421052631579
TECHM,meta_label_thr0.60,0.5432595573440644,497,132,-0.04887294909008211,0.5075757575757576,-0.2702975865838357,0.3690955858678866,0.5075757575757576
TECHM,meta_label_thr0.65,0.5432595573440644,497,75,0.012090945137145814,0.5066666666666667,0.11385064841064088,0.2796766413676183,0.5066666666666667
TECHM,primary_0.58_AND_meta_0.60,0.5432595573440644,497,88,-0.07771486474287836,0.4772727272727273,-0.7449988796076621,0.2630443593629488,0.4772727272727273
