top_k,n_trading_days,total_return,ann_return,sharpe,max_dd,win_rate
3,360,-0.5165610874540365,-0.3987721038739658,-2.21330742608643,0.5380500331956769,0.4722222222222222
5,360,-0.5386047484590311,-0.4180962118058812,-2.4539592231370038,0.5591138495440037,0.475
8,360,-0.5136783176490474,-0.39626473694902387,-2.3018290295769095,0.5352954030218127,0.46944444444444444
10,360,-0.5220066559405516,-0.4035208129299004,-2.346538438930253,0.5432535451933528,0.4722222222222222
