symbol,strategy,oos_acc_dir,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
SBIN,primary_only_0.58,0.5652173913043478,207,55,-0.1488483264196192,0.509090909090909,-3.002401394273628,0.22087562832029797,0.509090909090909
SBIN,meta_label_thr0.55,0.5652173913043478,207,97,-0.06741595410855183,0.5567010309278351,-0.7529260809912143,0.19396516377888665,0.5567010309278351
SBIN,meta_label_thr0.60,0.5652173913043478,207,91,-0.0857169102959503,0.5604395604395604,-1.0027153707326295,0.19396516377888665,0.5604395604395604
SBIN,meta_label_thr0.65,0.5652173913043478,207,91,-0.0857169102959503,0.5604395604395604,-1.0027153707326295,0.19396516377888665,0.5604395604395604
SBIN,primary_0.58_AND_meta_0.60,0.5652173913043478,207,55,-0.1488483264196192,0.509090909090909,-3.002401394273628,0.22087562832029797,0.509090909090909
HDFCBANK,primary_only_0.58,0.4666666666666667,105,16,-0.010131005724859254,0.5625,-1.0424544988603672,0.07516777697895419,0.5625
HDFCBANK,meta_label_thr0.55,0.4666666666666667,105,31,0.04583804431507632,0.6129032258064516,1.2877046131075607,0.0751677769789544,0.6129032258064516
HDFCBANK,meta_label_thr0.60,0.4666666666666667,105,25,0.03603138645789805,0.64,1.1836934176093967,0.07516777697895434,0.64
HDFCBANK,meta_label_thr0.65,0.4666666666666667,105,18,-0.03924982563517987,0.5555555555555556,-3.5282723122144213,0.08415989284352707,0.5555555555555556
HDFCBANK,primary_0.58_AND_meta_0.60,0.4666666666666667,105,14,-0.028669768344738333,0.5,-2.854493447329515,0.07516777697895421,0.5
ICICIBANK,primary_only_0.58,0.46846846846846846,111,98,-0.2389108523875002,0.4489795918367347,-2.561799540742588,0.35775693682885085,0.4489795918367347
ICICIBANK,meta_label_thr0.55,0.46846846846846846,111,83,-0.28746609291234027,0.42168674698795183,-3.8239242462387857,0.36588489108943084,0.42168674698795183
ICICIBANK,meta_label_thr0.60,0.46846846846846846,111,51,-0.2326781869538911,0.4117647058823529,-4.31281737217937,0.2832189091748401,0.4117647058823529
ICICIBANK,meta_label_thr0.65,0.46846846846846846,111,51,-0.2326781869538911,0.4117647058823529,-4.31281737217937,0.2832189091748401,0.4117647058823529
ICICIBANK,primary_0.58_AND_meta_0.60,0.46846846846846846,111,43,-0.19855337850407684,0.4186046511627907,-4.070546708228187,0.24926843202774573,0.4186046511627907
AXISBANK,primary_only_0.58,0.6090909090909091,110,0,0.0,0.0,0.0,0.0,0.0
AXISBANK,meta_label_thr0.55,0.6090909090909091,110,0,0.0,0.0,0.0,0.0,0.0
AXISBANK,meta_label_thr0.60,0.6090909090909091,110,0,0.0,0.0,0.0,0.0,0.0
AXISBANK,meta_label_thr0.65,0.6090909090909091,110,0,0.0,0.0,0.0,0.0,0.0
AXISBANK,primary_0.58_AND_meta_0.60,0.6090909090909091,110,0,0.0,0.0,0.0,0.0,0.0
KOTAKBANK,primary_only_0.58,0.4230769230769231,52,0,0.0,0.0,0.0,0.0,0.0
KOTAKBANK,meta_label_thr0.55,0.4230769230769231,52,5,-0.09402731484334836,0.2,-19.20664035223703,0.07095910651860292,0.2
KOTAKBANK,meta_label_thr0.60,0.4230769230769231,52,5,-0.09402731484334836,0.2,-19.20664035223703,0.07095910651860292,0.2
KOTAKBANK,meta_label_thr0.65,0.4230769230769231,52,5,-0.09402731484334836,0.2,-19.20664035223703,0.07095910651860292,0.2
KOTAKBANK,primary_0.58_AND_meta_0.60,0.4230769230769231,52,0,0.0,0.0,0.0,0.0,0.0
