symbol,n,model_acc,alwaysup_acc,mom5_acc,ar1_acc,dm_vs_alwaysup,p_alwaysup,dm_vs_mom5,p_mom5,dm_vs_ar1,p_ar1
MARUTI,314,0.5064,0.5287,0.5032,0.5223,0.375,0.6463,-0.048,0.4809,0.298,0.6171
MOTHERSON,371,0.4232,0.5202,0.5418,0.4852,2.075,0.981,2.219,0.9867,1.434,0.9242
MPHASIS,347,0.513,0.5043,0.4813,0.4582,-0.231,0.4085,-0.587,0.2787,-1.168,0.1215
MUTHOOTFIN,340,0.6029,0.6294,0.4294,0.4824,0.656,0.744,-3.7,0.0001,-2.646,0.0041
NAUKRI,401,0.5436,0.5187,0.4514,0.4763,-0.821,0.2059,-1.987,0.0235,-1.689,0.0456
NESTLEIND,288,0.4792,0.4931,0.4653,0.4306,0.466,0.6795,-0.237,0.4062,-0.946,0.1721
NMDC,366,0.4863,0.5301,0.3525,0.4699,1.228,0.8904,-2.641,0.0041,-0.371,0.3553
NTPC,323,0.5015,0.5356,0.4427,0.4861,2.098,0.9821,-1.111,0.1334,-0.305,0.3802
OFSS,331,0.4562,0.4592,0.4894,0.4924,0.075,0.5298,0.582,0.7196,0.687,0.7541
ONGC,341,0.4575,0.5044,0.4457,0.5308,2.263,0.9882,-0.202,0.4199,1.498,0.9329
PAGEIND,386,0.5207,0.4611,0.4845,0.4845,-1.1,0.1357,-0.699,0.2422,-0.881,0.1891
PERSISTENT,348,0.5776,0.5948,0.4914,0.5144,0.576,0.7178,-1.658,0.0487,-1.427,0.0767
PIDILITIND,352,0.4886,0.5227,0.5114,0.517,0.721,0.7647,0.44,0.67,0.637,0.738
POLYCAB,322,0.4783,0.5466,0.4348,0.5062,2.092,0.9818,-0.773,0.2199,0.552,0.7097
POWERGRID,316,0.4873,0.4873,0.4241,0.5063,0.0,0.5,-1.078,0.1405,0.371,0.6446
RELIANCE,321,0.5296,0.486,0.4798,0.5202,-1.024,0.1529,-0.809,0.2093,-0.208,0.4176
SAIL,365,0.5863,0.5178,0.4603,0.5041,-1.445,0.0743,-2.407,0.0081,-1.949,0.0256
SBILIFE,321,0.5047,0.5296,0.5109,0.4735,0.56,0.7124,0.102,0.5406,-0.718,0.2363
SBIN,334,0.485,0.6138,0.506,0.5269,2.505,0.9939,0.369,0.6441,0.911,0.8187
SHREECEM,321,0.5109,0.4984,0.4579,0.4922,-0.309,0.3787,-0.884,0.1885,-0.386,0.3496
SIEMENS,401,0.5037,0.5337,0.5262,0.4638,0.918,0.8207,0.411,0.6596,-0.848,0.1981
SUNPHARMA,304,0.5493,0.5329,0.5066,0.4605,-1.305,0.096,-0.8,0.2119,-1.533,0.0627
TATACONSUM,308,0.461,0.4773,0.4448,0.5032,0.336,0.6317,-0.277,0.3908,0.935,0.8251
TATAELXSI,340,0.5647,0.4,0.5294,0.5147,-3.015,0.0013,-0.722,0.2351,-1.158,0.1235
TATAPOWER,403,0.5136,0.5186,0.4094,0.4789,0.122,0.5484,-2.231,0.0128,-0.777,0.2185
TATASTEEL,395,0.5165,0.562,0.4759,0.5038,0.964,0.8325,-0.761,0.2235,-0.304,0.3807
TCS,314,0.4777,0.4204,0.4841,0.5223,-1.109,0.1337,0.101,0.5402,0.95,0.829
TECHM,328,0.5122,0.5671,0.5122,0.4482,1.663,0.9518,0.0,0.5,-1.341,0.0899
TITAN,388,0.5387,0.5464,0.5232,0.5155,0.431,0.6668,-0.299,0.3823,-0.487,0.313
TORNTPHARM,309,0.5566,0.5534,0.4304,0.5307,-0.082,0.4674,-2.179,0.0147,-0.559,0.2882
TVSMOTOR,338,0.5621,0.5651,0.4882,0.5118,0.224,0.5887,-1.471,0.0707,-1.021,0.1536
ULTRACEMCO,312,0.5577,0.5353,0.4808,0.5064,-0.741,0.2293,-1.482,0.0692,-1.043,0.1485
VEDL,360,0.4861,0.5778,0.4111,0.4972,1.886,0.9704,-1.326,0.0924,0.246,0.5973
VOLTAS,391,0.5166,0.5115,0.5294,0.5141,-0.113,0.4549,0.23,0.5911,-0.059,0.4765
WIPRO,329,0.5289,0.541,0.4711,0.4833,0.208,0.5823,-0.932,0.1757,-0.939,0.174
