symbol,strategy,n_trades,total_return,win_rate,sharpe,max_dd
SBIN,primary_only_0.58,192,-0.4437923216658919,0.515625,-2.2313453415207785,0.4873863654710879
SBIN,primary_meta_0.58_0.60,53,-0.19167198585592815,0.49056603773584906,-3.1200433615255263,0.21358255918518415
SBIN,primary_meta_0.55_0.60,61,-0.16747287952203616,0.5081967213114754,-2.2804148974523586,0.20325874104654124
SBIN,primary_meta_0.60_0.65,17,-0.0685220426490546,0.4117647058823529,-7.281523312967259,0.0617868848416211
SBIN,PRIM+META+REGIME_gate,44,-0.10037174328445575,0.5,-2.3276540359451174,0.133133054257551
SBIN,PRIM+META+REGIME_0.55,51,-0.11657062937412965,0.5098039215686274,-2.3619884888806784,0.16632999723271977
HDFCBANK,primary_only_0.58,93,-0.1622693656774179,0.5483870967741935,-1.3783866422358344,0.2515947156658416
HDFCBANK,primary_meta_0.58_0.60,76,-0.11794034275283383,0.5657894736842105,-1.181695109078804,0.24319376180001906
HDFCBANK,primary_meta_0.55_0.60,87,-0.10246790206171041,0.5862068965517241,-0.8547505088291215,0.2476642198272268
HDFCBANK,primary_meta_0.60_0.65,69,-0.10591797965614347,0.5652173913043478,-1.1145905811897487,0.2172376001999351
HDFCBANK,PRIM+META+REGIME_gate,52,-0.08336146867808925,0.5576923076923077,-2.467826582044687,0.12895712424238112
HDFCBANK,PRIM+META+REGIME_0.55,61,-0.07605597497887695,0.5901639344262295,-1.9105369949554334,0.13412110275939026
ICICIBANK,primary_only_0.58,263,-0.3797886165746709,0.5209125475285171,-1.7777411373914762,0.43432327345733235
ICICIBANK,primary_meta_0.58_0.60,130,-0.20111784593422288,0.5153846153846153,-1.7060285937641637,0.4090909981468799
ICICIBANK,primary_meta_0.55_0.60,156,-0.2250855352950668,0.5128205128205128,-1.657360152865411,0.44337424644821155
ICICIBANK,primary_meta_0.60_0.65,70,-0.2840202029804578,0.4142857142857143,-5.425225707744371,0.3164194700583517
ICICIBANK,PRIM+META+REGIME_gate,85,0.05198626591625222,0.5411764705882353,0.4706945131565007,0.20117776281068622
ICICIBANK,PRIM+META+REGIME_0.55,105,0.000769148280796994,0.5428571428571428,-0.12302021107649688,0.24752368243672387
AXISBANK,primary_only_0.58,108,-0.13006439618612353,0.49074074074074076,-0.863070062548787,0.2792311335301543
AXISBANK,primary_meta_0.58_0.60,75,-0.08464483067401218,0.5333333333333333,-0.8306802210697238,0.27270073714935333
AXISBANK,primary_meta_0.55_0.60,90,0.038449817882981296,0.5777777777777777,0.29607833897548513,0.2666965830369996
AXISBANK,primary_meta_0.60_0.65,46,-0.013247725879865002,0.5,-0.18569237402411332,0.18218398885127104
AXISBANK,PRIM+META+REGIME_gate,51,0.007783157994719847,0.5294117647058824,0.09856817714742919,0.2042136914447555
AXISBANK,PRIM+META+REGIME_0.55,64,0.0988800791324167,0.578125,1.1424909263762393,0.19764414864288418
