symbol,entry_date,exit_date,hold_days,gross_return,net_return,weight
TITAN,2023-11-20,2023-12-04,14,0.042604996769566084,0.04010499676956608,0.125
TITAN,2024-02-07,2024-02-16,9,0.012735892313066044,0.010235892313066043,0.125
AXISBANK,2024-02-12,2024-02-26,14,0.05358253136166535,0.05108253136166535,0.125
KOTAKBANK,2024-02-13,2024-02-29,16,-0.03564623505918885,-0.03814623505918885,0.125
BHARTIARTL,2024-02-08,2024-03-01,22,-0.0029180624855107418,-0.005418062485510742,0.125
TITAN,2024-02-23,2024-03-04,10,0.020030035237636357,0.017530035237636358,0.125
TATASTEEL,2024-03-04,2024-03-14,10,-0.06956236023551399,-0.07206236023551399,0.125
TECHM,2024-03-01,2024-03-19,18,-0.016224523734330032,-0.01872452373433003,0.125
HDFCBANK,2024-02-19,2024-03-20,30,0.011598332755051732,0.009098332755051732,0.125
TITAN,2024-03-04,2024-03-20,16,-0.028241532453777474,-0.030741532453777472,0.125
KOTAKBANK,2024-02-29,2024-03-27,27,0.04250434092708599,0.04000434092708599,0.125
TATASTEEL,2024-03-19,2024-04-02,14,0.10689088459121066,0.10439088459121065,0.125
TITAN,2024-03-20,2024-04-03,14,0.03397857231808343,0.03147857231808343,0.125
AXISBANK,2024-03-13,2024-04-05,23,-0.017192830977546536,-0.019692830977546535,0.125
TECHM,2024-04-03,2024-04-16,13,-0.04728512964645126,-0.049785129646451265,0.125
KOTAKBANK,2024-04-03,2024-04-23,20,0.04730943401525489,0.04480943401525489,0.125
TITAN,2024-04-04,2024-04-23,19,-0.060984518571512214,-0.06348451857151222,0.125
HCLTECH,2024-04-23,2024-04-30,7,-0.08075196161424092,-0.08325196161424092,0.125
TITAN,2024-04-24,2024-05-09,15,-0.09693191958998693,-0.09943191958998693,0.125
KOTAKBANK,2024-04-25,2024-05-09,14,0.010529196527117035,0.008029196527117035,0.125
AXISBANK,2024-04-23,2024-05-10,17,0.042353047009615175,0.03985304700961517,0.125
WIPRO,2024-04-23,2024-05-14,21,-0.0064862817902591186,-0.008986281790259119,0.125
BHARTIARTL,2024-04-30,2024-05-14,14,-0.02873777654132892,-0.031237776541328918,0.125
TITAN,2024-05-09,2024-05-16,7,0.027174452355787082,0.024674452355787083,0.125
HCLTECH,2024-04-30,2024-05-22,22,-0.012128368045413396,-0.014628368045413396,0.125
ITC,2024-05-06,2024-05-23,17,0.01106350013480406,0.00856350013480406,0.125
HDFCBANK,2024-05-09,2024-05-23,14,0.04523806243908113,0.042738062439081126,0.125
TECHM,2024-05-15,2024-05-27,12,0.04331115286897713,0.04081115286897713,0.125
WIPRO,2024-05-15,2024-05-29,14,-0.012764497744370606,-0.015264497744370607,0.125
KOTAKBANK,2024-05-10,2024-05-31,21,0.028074658998815227,0.02557465899881523,0.125
BHARTIARTL,2024-05-14,2024-06-03,20,0.09231095520925647,0.08981095520925647,0.125
HCLTECH,2024-05-22,2024-06-03,12,-0.00567921694987783,-0.00817921694987783,0.125
TCS,2024-05-16,2024-06-04,19,-0.030449488984794493,-0.032949488984794495,0.125
TECHM,2024-05-27,2024-06-04,8,-0.06798523166815318,-0.07048523166815318,0.125
LT,2024-05-23,2024-06-05,13,-0.04919941753654822,-0.05169941753654822,0.125
INFY,2024-05-29,2024-06-06,8,0.034981579729738144,0.03248157972973814,0.125
WIPRO,2024-05-29,2024-06-06,8,0.02262660352085466,0.02012660352085466,0.125
HCLTECH,2024-06-03,2024-06-10,7,0.07934875461171309,0.07684875461171309,0.125
TATASTEEL,2024-06-03,2024-06-11,8,0.03466274089933696,0.03216274089933696,0.125
TECHM,2024-06-06,2024-06-19,13,0.07748590300771308,0.07498590300771307,0.125
TATASTEEL,2024-06-11,2024-06-25,14,-0.01163871415702522,-0.014138714157025221,0.125
BHARTIARTL,2024-06-04,2024-06-26,22,0.12468063084223169,0.12218063084223169,0.125
TITAN,2024-06-03,2024-06-27,24,0.05307246793200471,0.050572467932004705,0.125
ASIANPAINT,2024-06-04,2024-06-27,23,0.012685501548260536,0.010185501548260536,0.125
MARUTI,2024-06-19,2024-07-02,13,-0.02131632705068609,-0.02381632705068609,0.125
TCS,2024-06-24,2024-07-02,8,0.032964930236895285,0.030464930236895286,0.125
WIPRO,2024-06-24,2024-07-03,9,0.09876660619228406,0.09626660619228405,0.125
TITAN,2024-06-27,2024-07-04,7,-0.013192962082710702,-0.0156929620827107,0.125
LT,2024-06-13,2024-07-09,26,-0.0009697977185532114,-0.0034697977185532114,0.125
ASIANPAINT,2024-06-27,2024-07-16,19,0.026259637015715542,0.023759637015715544,0.125
