symbol,fold_combo,n_train,n_test,n_trades,total_ret,win_rate,sharpe
AXISBANK,0+2,697,354,27,0.02007782914903533,0.5925925925925926,0.425
AXISBANK,0+5,698,358,24,2.256673354271891,0.75,1.328
AXISBANK,1+2,702,354,7,-0.09938781655440443,0.5714285714285714,-0.531
AXISBANK,1+3,692,354,6,0.2127524981366311,0.3333333333333333,2.472
AXISBANK,2+4,692,354,28,0.3559794240472569,0.5357142857142857,0.753
BAJAJ-AUTO,0+1,692,348,27,-0.005298567064382365,0.5185185185185185,0.211
BAJAJ-AUTO,0+2,682,348,24,-0.026264379557566664,0.5416666666666666,0.177
BAJAJ-AUTO,0+4,682,348,33,1.852639315264749,0.48484848484848486,0.857
BAJAJ-AUTO,0+5,686,349,34,1.9830724965827726,0.47058823529411764,0.897
BAJAJ-AUTO,1+2,687,348,13,0.13750740097092295,0.5384615384615384,1.082
BAJAJ-AUTO,1+4,677,348,34,1.9026381118693676,0.47058823529411764,0.918
BAJAJ-AUTO,1+5,681,349,34,2.081193535597273,0.47058823529411764,1.002
BAJAJ-AUTO,2+4,677,348,23,1.246892684172069,0.6086956521739131,1.034
BAJAJ-AUTO,2+5,681,349,27,2.3940894807376174,0.6296296296296297,1.353
BAJAJFINSV,0+1,712,356,22,0.3656843107811696,0.6818181818181818,0.914
BAJAJFINSV,0+2,702,356,27,0.9191358473466973,0.5185185185185185,0.83
BAJAJFINSV,0+3,702,356,26,0.6569990513218686,0.5384615384615384,0.754
BAJAJFINSV,0+4,702,356,23,0.8492120614871599,0.5217391304347826,0.868
BAJAJFINSV,1+3,697,356,19,0.4863895246925596,0.5263157894736842,1.313
BAJAJFINSV,1+4,697,356,25,0.7480403203772441,0.56,1.766
BAJAJFINSV,1+5,697,361,15,0.5578179436923623,0.6,2.202
BAJAJFINSV,2+3,707,356,26,-0.30018689503736395,0.46153846153846156,-0.664
BAJAJFINSV,2+4,697,356,27,-0.3681530696267322,0.3333333333333333,-0.817
BAJAJFINSV,3+4,707,356,21,-0.2728240863288536,0.3333333333333333,-1.325
BAJAJFINSV,3+5,697,361,6,-0.10081916668057267,0.5,-1.286
BAJFINANCE,0+2,736,374,27,1.088062046037955,0.48148148148148145,0.999
BAJFINANCE,0+3,736,374,23,0.41101351491370886,0.43478260869565216,0.774
BAJFINANCE,0+4,736,374,19,0.6568799862899608,0.47368421052631576,0.99
BAJFINANCE,2+3,741,374,23,-0.009664304732709406,0.4782608695652174,0.122
BAJFINANCE,2+4,731,374,27,0.44022800133340256,0.5185185185185185,1.028
BAJFINANCE,2+5,733,377,21,0.4854498475024669,0.6190476190476191,1.466
BAJFINANCE,3+4,741,374,21,0.1539063870927293,0.47619047619047616,0.829
BAJFINANCE,3+5,733,377,23,0.4523584202241919,0.5652173913043478,1.485
BAJFINANCE,4+5,743,377,22,0.26140335841798734,0.5909090909090909,1.138
BANDHANBNK,0+1,799,402,25,-0.2773591054914152,0.6,-0.133
BANDHANBNK,0+2,789,402,25,-0.3580300210089201,0.52,0.087
BANDHANBNK,0+3,789,402,16,-0.1551533897523938,0.5,0.121
BANDHANBNK,0+4,789,402,27,-0.5906419672071308,0.37037037037037035,-0.643
BANDHANBNK,0+5,794,402,22,-0.625059836358437,0.6363636363636364,-0.786
BANDHANBNK,1+2,794,402,15,0.17849921329653062,0.6,0.799
BANDHANBNK,1+4,784,402,24,0.17751951266774113,0.5,0.691
BANDHANBNK,1+5,789,402,23,-0.12986887140454229,0.5652173913043478,0.255
BANDHANBNK,2+5,789,402,17,0.6248867992944824,0.7058823529411765,2.156
BANDHANBNK,3+5,789,402,15,0.33485083126170645,0.6666666666666666,1.575
BANDHANBNK,4+5,799,402,12,-0.10805898567541972,0.5833333333333334,-0.552
BEL,0+1,767,386,36,0.4506234353129335,0.5833333333333334,0.765
BEL,0+2,757,386,37,1.931598215452516,0.5675675675675675,0.99
