symbol,oos_accuracy,tradeable,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
PAGEIND,0.5077,True,21,0.1351,3.5734,0.7143,1.429,-1.401,2.551,5.344,0.0481,2.807,0.5051,0.7143,2023-12-06 → 2026-04-10
JSWSTEEL,0.504,True,31,0.2336,4.5083,0.7097,1.898,-2.184,2.125,4.224,0.0868,2.69,0.5205,0.7097,2024-04-04 → 2026-04-10
ADANIPORTS,0.5324,True,35,0.1948,2.601,0.6571,1.75,-1.802,1.861,3.778,0.0494,3.94,0.4866,0.6571,2024-05-09 → 2026-04-10
VEDL,0.5445,True,54,0.256,1.8975,0.6481,1.896,-2.195,1.591,2.653,0.0899,2.849,0.558,0.6667,2024-05-03 → 2026-04-10
ULTRACEMCO,0.5289,True,44,0.1348,1.0629,0.6136,1.292,-1.272,1.613,2.629,0.0433,3.112,0.5047,0.6136,2024-04-23 → 2026-04-10
POWERGRID,0.4933,False,54,0.1718,1.0958,0.6296,1.53,-1.759,1.479,2.415,0.0621,2.765,0.5153,0.6296,2024-03-21 → 2026-04-10
INDUSTOWER,0.5032,True,5,0.0158,1.2047,0.4,3.096,-1.496,1.379,2.172,0.0228,0.695,0.5318,0.4,2024-04-15 → 2026-04-08
BOSCHLTD,0.5308,True,72,0.1969,0.876,0.6389,1.396,-1.733,1.426,2.111,0.1107,1.779,0.5457,0.6389,2024-01-05 → 2026-04-10
IRFC,0.552,True,16,0.0535,1.271,0.6875,1.738,-2.667,1.433,2.029,0.102,0.524,0.4409,0.6875,2024-12-19 → 2026-04-10
EICHERMOT,0.52,True,18,0.0422,0.7831,0.5556,1.358,-1.142,1.486,1.892,0.0462,0.913,0.5279,0.6111,2024-03-20 → 2026-04-10
MPHASIS,0.5031,True,40,0.1254,1.1049,0.625,1.838,-2.186,1.402,1.855,0.1059,1.184,0.5043,0.625,2024-04-15 → 2026-04-10
WIPRO,0.5238,True,24,0.0531,0.7209,0.5833,1.506,-1.552,1.358,1.826,0.0642,0.827,0.4984,0.5833,2024-05-06 → 2026-04-10
CUMMINSIND,0.537,True,56,0.1629,0.9724,0.625,2.144,-2.71,1.318,1.469,0.1621,1.005,0.5428,0.625,2024-05-14 → 2026-04-10
BRITANNIA,0.5148,True,76,0.1099,0.4132,0.5921,1.156,-1.316,1.276,1.337,0.1012,1.087,0.5507,0.6053,2024-05-23 → 2026-04-10
VOLTAS,0.5193,True,5,0.0122,0.8415,0.8,2.367,-7.751,1.222,1.138,0.0775,0.157,0.5342,0.8,2024-02-09 → 2026-04-10
