symbol,oos_accuracy,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
ASIANPAINT,0.4901,False,False,58,181,-0.5162,-0.6361,0.442,0.97,-1.461,0.526,-3.973,0.5162,-1.0,0.479,0.4641,2024-01-09 → 2026-04-16
ETERNAL,0.4975,False,False,59,75,-0.3713,-0.7898,0.44,1.522,-2.251,0.531,-4.3,0.3759,-0.988,0.4749,0.44,2025-02-01 → 2026-04-16
ADANIENT,0.5385,False,False,,199,,,0.5176,2.024,,99.0,,0.0,99.0,0.4692,0.5327,2023-12-27 → 2026-04-16
BAJAJFINSV,0.4925,False,False,,106,,,0.5377,1.195,,99.0,,0.0,99.0,0.5076,0.5472,2024-04-22 → 2026-04-16
BHARTIARTL,0.5489,False,False,,205,,,0.561,1.183,,99.0,,0.0,99.0,0.5409,0.5707,2024-03-14 → 2026-04-09
BHEL,0.531,False,False,,246,,,0.5691,2.036,,99.0,,0.0,99.0,0.5487,0.5691,2023-12-28 → 2026-04-16
BPCL,0.4992,False,False,,178,,,0.5,1.988,,99.0,,0.0,99.0,0.5292,0.5112,2024-04-24 → 2026-04-16
BRITANNIA,0.5341,False,False,,184,,,0.5543,1.071,,99.0,,0.0,99.0,0.5525,0.5652,2024-05-24 → 2026-04-16
CIPLA,0.5156,False,False,,181,,,0.5028,1.267,,99.0,,0.0,99.0,0.492,0.5138,2024-03-22 → 2026-04-16
CUMMINSIND,0.5322,False,False,,237,,,0.5105,1.678,,99.0,,0.0,99.0,0.5414,0.519,2024-05-15 → 2026-04-16
DRREDDY,0.5088,False,False,,231,,,0.4935,1.12,,99.0,,0.0,99.0,0.5258,0.5108,2024-04-16 → 2026-04-16
EICHERMOT,0.4801,False,False,,103,,,0.5049,1.672,,99.0,,0.0,99.0,0.5279,0.5146,2024-03-20 → 2026-04-16
EXIDEIND,0.5082,False,False,,106,,,0.4906,1.674,,99.0,,0.0,99.0,0.4835,0.4906,2024-05-08 → 2026-04-16
GAIL,0.5027,False,False,,179,,,0.514,1.813,,99.0,,0.0,99.0,0.5038,0.514,2024-01-12 → 2026-04-16
GODREJPROP,0.5203,False,False,,192,,,0.5,1.943,,99.0,,0.0,99.0,0.512,0.5,2024-01-04 → 2026-04-16
HAL,0.5164,False,False,,216,,,0.4722,1.798,,99.0,,0.0,99.0,0.5014,0.4769,2024-05-03 → 2026-04-16
HINDUNILVR,0.5027,False,False,,156,,,0.4808,1.066,,99.0,,0.0,99.0,0.4785,0.4808,2024-05-09 → 2026-04-16
IRFC,0.5432,False,False,,54,,,0.4074,2.279,,99.0,,0.0,99.0,0.4409,0.4074,2024-12-19 → 2026-04-16
