symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
ICICIBANK,0.5417406749555951,0.6640625,6.0,563,47.0,1022.0
SBIN,0.5388513513513513,0.6633785450061652,6.0,592,47.0,1076.0
HDFCBANK,0.49016100178890876,0.5727136431784108,6.0,559,47.0,1015.0
KOTAKBANK,0.5510204081632653,0.5875,6.0,588,47.0,1067.0
AXISBANK,0.4624183006535948,0.5642384105960265,6.0,612,47.0,1111.0
INDUSINDBK,0.5264797507788161,0.571830985915493,6.0,642,47.0,1166.0
IDFCFIRSTB,0.5162287480680062,0.5307346326836582,6.0,647,47.0,1174.0
FEDERALBNK,0.5064935064935064,0.6072351421188631,6.0,616,47.0,1119.0
BANDHANBNK,0.5499254843517138,0.34347826086956523,6.0,671,47.0,1220.0
BAJFINANCE,0.509090909090909,0.5366614664586583,6.0,605,47.0,1098.0
BAJAJFINSV,0.49248747913188645,0.5706214689265536,6.0,599,47.0,1088.0
AUBANK,0.4915254237288136,0.5258620689655172,6.0,649,47.0,1177.0
HDFCLIFE,0.49666666666666665,0.48986486486486486,6.0,600,47.0,1089.0
SBILIFE,0.49568221070811747,0.5535168195718655,6.0,579,47.0,1051.0
ICICIGI,0.4983108108108108,0.5409582689335394,6.0,592,47.0,1074.0
MUTHOOTFIN,0.5458937198067633,0.6299212598425197,6.0,621,47.0,1128.0
SHRIRAMFIN,0.48073959938366717,0.5617685305591678,6.0,649,47.0,1180.0
CHOLAFIN,0.5195783132530121,0.5274074074074074,6.0,664,47.0,1206.0
WIPRO,0.5272108843537415,0.5800604229607251,6.0,588,50.0,1068.0
TCS,0.4720720720720721,0.5710102489019033,6.0,555,50.0,1008.0
INFY,0.4983164983164983,0.569364161849711,6.0,594,50.0,1078.0
HCLTECH,0.4734133790737564,0.5912117177097204,6.0,583,50.0,1058.0
TECHM,0.5212418300653595,0.5947441217150761,6.0,612,50.0,1112.0
LTIM,0.5064724919093851,0.5981554677206851,6.0,618,50.0,1122.0
MPHASIS,0.4720496894409938,0.5549738219895288,6.0,644,50.0,1170.0
PERSISTENT,0.46687211093990755,0.6059225512528473,6.0,649,50.0,1178.0
COFORGE,0.4909365558912387,0.6067677946324388,6.0,662,50.0,1202.0
TATAELXSI,0.5214626391096979,0.4710017574692443,6.0,629,50.0,1141.0
M&M,0.46885245901639344,0.598014888337469,6.0,610,50.0,1107.0
MARUTI,0.48606271777003485,0.555052790346908,6.0,574,50.0,1041.0
BAJAJ-AUTO,0.48186528497409326,0.5833333333333334,6.0,579,50.0,1051.0
TVSMOTOR,0.4983922829581994,0.6413793103448275,6.0,622,50.0,1130.0
HEROMOTOCO,0.49508196721311476,0.5958005249343832,6.0,610,50.0,1107.0
EICHERMOT,0.4800637958532695,0.5045592705167173,6.0,627,50.0,1137.0
MOTHERSON,0.49390243902439024,0.5880893300248139,6.0,656,50.0,1192.0
HINDUNILVR,0.5027027027027027,0.5490196078431373,6.0,555,50.0,1008.0
BRITANNIA,0.5340699815837937,0.6251851851851852,6.0,543,50.0,985.0
NESTLEIND,0.4890909090909091,0.5933429811866859,6.0,550,50.0,998.0
ITC,0.5380530973451327,0.5568760611205433,6.0,565,50.0,1025.0
TATACONSUM,0.47783251231527096,0.5923076923076923,6.0,609,50.0,1105.0
COLPAL,0.47735191637630664,0.5821727019498607,6.0,574,50.0,1041.0
MARICO,0.5086505190311419,0.5328947368421053,6.0,578,50.0,1049.0
SUNPHARMA,0.5302245250431779,0.6023391812865497,6.0,579,50.0,1051.0
DRREDDY,0.5087719298245614,0.6382428940568475,6.0,570,50.0,1035.0
GODREJCP,0.4533551554828151,0.4954682779456193,6.0,611,50.0,1110.0
CIPLA,0.515625,0.5962373371924746,6.0,576,50.0,1046.0
LUPIN,0.5232558139534884,0.6389937106918239,6.0,602,50.0,1093.0
DIVISLAB,0.5037369207772795,0.5732647814910026,6.0,669,50.0,1216.0
TORNTPHARM,0.5093696763202725,0.6230366492146597,6.0,587,50.0,1066.0
AUROPHARMA,0.5047169811320755,0.49920508744038156,6.0,636,50.0,1154.0
ALKEM,0.5202020202020202,0.5802650957290133,6.0,594,50.0,1079.0
RELIANCE,0.5265866209262435,0.5445544554455446,6.0,583,50.0,1060.0
