model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_stocks
XGB,0.5118028714796032,0.5107331211030186,0.5721726424410988,0.45616931216931217,0.021307440194463626,90
LGBM,0.5102898545056926,0.5109462971918068,0.5622638686267908,0.4443562890087804,0.021101634929769252,90
BILSTM,0.5072960448504334,0.5053404119707664,0.5542975260532511,0.4583333333333333,0.020242185512961242,90
LSTM,0.5072494246176956,0.5050762940474489,0.5684921258369805,0.4638648860958366,0.020640775339435632,90
CNN_GRU,0.5068538569275862,0.5059393424644607,0.5569897667096034,0.4626304567388621,0.018662523229139798,90
GRU,0.5059844710129714,0.502109654884642,0.5660275179128281,0.46751906236473206,0.021711565642484085,90
CNN_LSTM,0.503952853513755,0.5034644099177854,0.5507246376811593,0.450513874614594,0.02019975318964429,90
NBEATS,0.5037189573613063,0.4988213608033578,0.5609546253693937,0.4588402270884022,0.019593376219884204,90
TCN_TRANSFORMER,0.5035909510373867,0.5035642918182722,0.5470794807008476,0.4554531725584357,0.019294521204212926,90
TCN_GRU,0.5035390026451982,0.5012120858232415,0.5466273492589282,0.4614427860696518,0.019111742348004793,90
