symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,temperature,dl_models_trained
ABB,1,0.7,872,96,138,2024-01-11,2024-09-17,0.5217391304347826,0.46831896551724145,0.5975609756097562,0.5833333333333334,0.6125,49,35,23,31,0.6159420289855072,0.644927536231884,0.6086956521739131,0.5797101449275363,0.5507246376811594,0.463768115942029,0.4782608695652174,0.8567743054374884,5
ABB,2,0.75,934,103,138,2024-05-10,2025-01-08,0.4927536231884058,0.5308746048472076,0.5569620253164557,0.5176470588235295,0.6027397260273972,44,41,24,29,0.572463768115942,0.5652173913043478,0.5507246376811594,0.4782608695652174,0.5217391304347826,0.5362318840579711,0.4855072463768116,0.41143895417600373,5
ABB,3,0.8,996,110,138,2024-09-18,2025-05-14,0.4855072463768116,0.5025210084033613,0.5798816568047336,0.48514851485148514,0.7205882352941176,49,52,18,19,0.4492753623188406,0.4855072463768116,0.4855072463768116,0.47101449275362317,0.47101449275362317,0.5,0.47101449275362317,0.4755822779589415,5
ABB,4,0.85,1058,117,138,2025-01-09,2025-10-07,0.4782608695652174,0.42358629388269914,0.6399999999999999,0.48120300751879697,0.9552238805970149,64,69,2,3,0.4927536231884058,0.45652173913043476,0.4927536231884058,0.4927536231884058,0.5289855072463768,0.4420289855072464,0.4927536231884058,7.999995296376173,5
ABB,5,0.9,1120,124,139,2025-05-15,2026-02-27,0.5035971223021583,0.458592132505176,0.6567164179104478,0.5,0.9565217391304348,66,66,4,3,0.4172661870503597,0.49640287769784175,0.49640287769784175,0.5035971223021583,0.5035971223021583,0.49640287769784175,0.5107913669064749,7.999996369769943,5
ABB,6,0.95,1182,131,70,2025-10-09,2026-02-27,0.5142857142857142,0.5441176470588236,0.6304347826086957,0.5178571428571429,0.8055555555555556,29,27,7,7,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5571428571428572,0.5428571428571428,0.5285714285714286,0.45714285714285713,7.999995817904634,5
