symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
SBIN,0.5898692810457516,0.700834326579261,6.0,612,47.0,1111.0
HDFCBANK,0.5214953271028038,0.5444839857651246,6.0,535,47.0,972.0
ICICIBANK,0.5754884547069272,0.6448736998514116,6.0,563,47.0,1022.0
TCS,0.5269565217391304,0.4645669291338583,6.0,575,50.0,1044.0
RELIANCE,0.5085034013605442,0.5614567526555387,6.0,588,50.0,1068.0
INFY,0.4925124792013311,0.5781466113416321,6.0,601,50.0,1091.0
AXISBANK,0.5672913117546848,0.6701298701298701,6.0,587,47.0,1066.0
WIPRO,0.4842454394693201,0.5365126676602087,6.0,603,50.0,1096.0
KOTAKBANK,0.4905335628227194,0.3755274261603376,6.0,581,47.0,1054.0
MARUTI,0.4652777777777778,0.5276073619631901,6.0,576,50.0,1045.0
AVERAGE,0.522217355698099,0.5604139631240432,6.0,5821,48.5,1056.9
