symbol,oos_accuracy,tradeable,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
GRASIM,0.5131,True,22,0.0963,1.8654,0.6818,1.289,-1.413,1.954,4.449,0.0305,3.157,0.5135,0.6818,2024-04-05 → 2026-04-16
BEL,0.4885,False,41,0.111,0.9098,0.561,2.038,-1.954,1.333,1.731,0.155,0.716,0.4986,0.561,2024-05-07 → 2026-04-16
ICICIGI,0.5068,True,23,0.0267,0.3342,0.6522,1.026,-1.562,1.231,1.077,0.0614,0.434,0.4923,0.6522,2024-05-15 → 2026-04-16
POLYCAB,0.505,True,50,0.0764,0.4495,0.58,1.586,-1.784,1.228,1.067,0.0734,1.041,0.5215,0.58,2024-06-21 → 2026-04-16
FEDERALBNK,0.5097,True,49,0.07,0.4162,0.5714,1.439,-1.552,1.237,1.065,0.0731,0.958,0.5417,0.6122,2024-02-06 → 2026-04-16
COLPAL,0.4913,False,41,0.0476,0.3307,0.6098,1.229,-1.595,1.204,0.982,0.1044,0.456,0.4856,0.6098,2024-05-23 → 2026-04-16
BANDHANBNK,0.5201,True,20,0.0213,0.3049,0.55,1.362,-1.395,1.193,0.861,0.0555,0.385,0.4645,0.55,2024-05-09 → 2026-04-16
EICHERMOT,0.5072,True,25,0.0193,0.2129,0.64,1.12,-1.747,1.14,0.662,0.0662,0.292,0.5263,0.64,2024-03-20 → 2026-04-16
BOSCHLTD,0.5132,True,60,0.0495,0.2252,0.5333,1.536,-1.547,1.135,0.629,0.1207,0.41,0.5442,0.55,2024-01-05 → 2026-04-16
MPHASIS,0.4829,False,42,0.0309,0.2006,0.5476,1.95,-2.121,1.113,0.492,0.2007,0.154,0.5071,0.5714,2024-04-16 → 2026-04-16
TATAELXSI,0.4944,False,30,0.0128,0.1128,0.5333,2.643,-2.744,1.101,0.389,0.1979,0.065,0.449,0.5333,2024-04-16 → 2026-04-16
TITAN,0.5022,True,32,0.0139,0.1149,0.5625,1.374,-1.629,1.084,0.302,0.0905,0.154,0.5014,0.5625,2024-01-09 → 2026-04-16
OFSS,0.4925,False,28,0.0074,0.0686,0.5714,1.495,-1.879,1.06,0.178,0.0973,0.076,0.4665,0.5714,2024-06-25 → 2026-04-16
ADANIPORTS,0.5283,False,22,-0.0068,-0.0756,0.4545,2.112,-1.758,1.001,-0.149,0.1022,-0.067,0.4852,0.4545,2024-05-09 → 2026-04-16
LT,0.5467,False,106,-0.0312,-0.0726,0.5849,1.444,-2.032,1.001,-0.157,0.1947,-0.16,0.5291,0.5849,2024-03-21 → 2026-04-16
NMDC,0.4977,False,23,-0.0212,-0.2097,0.5652,2.252,-3.005,0.974,-0.274,0.1344,-0.158,0.5056,0.5652,2024-05-09 → 2026-04-16
NAUKRI,0.4708,False,80,-0.0485,-0.1449,0.5,1.761,-1.835,0.959,-0.446,0.204,-0.238,0.4776,0.5125,2024-02-09 → 2026-04-16
SAIL,0.53,False,34,-0.0429,-0.2777,0.4118,2.846,-2.128,0.936,-0.526,0.2663,-0.161,0.4986,0.4412,2024-04-15 → 2026-04-16
GAIL,0.5068,False,49,-0.0831,-0.3599,0.551,2.051,-2.764,0.911,-0.615,0.2062,-0.403,0.5038,0.551,2024-01-12 → 2026-04-16
BHEL,0.5155,False,72,-0.1543,-0.4437,0.5417,2.454,-3.208,0.904,-0.631,0.2448,-0.63,0.5498,0.5417,2023-12-28 → 2026-04-16
IDFCFIRSTB,0.5162,False,10,-0.0077,-0.178,0.5,1.666,-1.781,0.936,-0.647,0.0727,-0.107,0.4816,0.5,2024-04-03 → 2026-04-16
AMBUJACEM,0.4944,False,52,-0.0915,-0.372,0.5769,1.889,-2.862,0.9,-0.673,0.1825,-0.502,0.4883,0.5769,2024-05-03 → 2026-04-16
ASIANPAINT,0.5099,False,30,-0.0135,-0.1076,0.4333,1.266,-1.033,0.938,-0.741,0.067,-0.201,0.479,0.4667,2024-01-09 → 2026-04-16
TECHM,0.5114,False,44,-0.0537,-0.2712,0.5227,1.66,-2.026,0.897,-0.867,0.1285,-0.418,0.503,0.5227,2024-03-21 → 2026-04-16
BRITANNIA,0.5378,False,64,-0.0694,-0.2465,0.5938,1.023,-1.739,0.86,-1.214,0.1728,-0.401,0.5507,0.5938,2024-05-24 → 2026-04-16
VOLTAS,0.5207,False,12,-0.0264,-0.4296,0.5,2.026,-2.404,0.843,-1.315,0.0872,-0.302,0.5342,0.5,2024-02-12 → 2026-04-16
DLF,0.4828,False,37,-0.1003,-0.513,0.5676,1.792,-2.894,0.813,-1.315,0.1741,-0.576,0.5121,0.5946,2023-11-30 → 2026-04-16
