symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
MPHASIS,1,0.7,737,81,117,2024-04-15,2024-12-04,0.5470085470085471,0.5381656804733729,0.6394557823129252,0.573170731707317,0.7230769230769231,47,35,17,18,0.5384615384615384,0.6239316239316239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573170731707317,0.48571428571428577,0.0,0.7008547008547008,0.29914529914529914,0.2804396957353861,0
MPHASIS,2,0.75,789,87,117,2024-08-13,2025-03-27,0.48717948717948717,0.4888758782201405,0.5652173913043478,0.5064935064935064,0.639344262295082,39,38,18,22,0.49572649572649574,0.5213675213675214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5064935064935064,0.44999999999999996,0.0,0.6581196581196581,0.3418803418803419,0.6225408576920262,0
MPHASIS,3,0.8,842,93,117,2024-12-06,2025-08-04,0.5042735042735043,0.5469208211143695,0.5396825396825397,0.4788732394366197,0.6181818181818182,34,37,25,21,0.5726495726495726,0.5982905982905983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4788732394366197,0.5434782608695652,0.0,0.6068376068376068,0.39316239316239315,1.0,0
MPHASIS,4,0.85,894,99,117,2025-03-28,2025-12-02,0.4700854700854701,0.5108123904149621,0.6172839506172839,0.4854368932038835,0.847457627118644,50,53,5,9,0.46153846153846156,0.5042735042735043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.3571428571428571,0.0,0.8803418803418803,0.11965811965811966,1.0,0
MPHASIS,5,0.9,947,105,117,2025-08-05,2026-04-10,0.47863247863247865,0.5430327868852458,0.5734265734265734,0.47126436781609193,0.7321428571428571,41,46,15,15,0.5384615384615384,0.5213675213675214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47126436781609193,0.5,0.0,0.7435897435897436,0.2564102564102564,0.5419594027753587,0
MPHASIS,6,0.95,999,111,59,2025-12-03,2026-04-10,0.559322033898305,0.5811764705882353,0.5517241379310345,0.48484848484848486,0.64,16,17,17,9,0.576271186440678,0.4745762711864407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48484848484848486,0.6538461538461539,0.0,0.559322033898305,0.4406779661016949,0.2455387464423245,0
